file	ver	kind	x	y	build	death	gend	onset	nbelt	eaten	fwd	d2bc	d2opp
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_3.replay26	47	gunner	12	7	68	78	174	68	10	1	True	50	202
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_3.replay26	47	gunner	2	14	77	82	174		0	0	False	369	5
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_3.replay26	47	gunner	15	9	84	97	174	84	11	2	True	53	245
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_3.replay26	47	gunner	15	2	96		174	96	17	2	True	4	392
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_3.replay26	47	gunner	16	9	111	126	174	111	12	3	True	50	274
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_3.replay26	47	gunner	2	12	172		174		0	0	False	325	17
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_4.replay26	47	gunner	11	16	19	39	137	19	16	3	True	5	229
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_4.replay26	47	gunner	8	16	21	32	137	21	14	2	True	2	226
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_5.replay26	47	gunner	8	20	13	31	101	13	6	1	True	5	197
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_5.replay26	47	gunner	10	21	21	28	101	21	6	0	True	10	226
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_5.replay26	47	gunner	8	12	32	35	101		0	0	False	37	37
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_5.replay26	47	gunner	8	12	56	71	101		0	0	False	37	37
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_5.replay26	47	gunner	11	19	44		101	44	6	1	True	5	173
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_5.replay26	47	gunner	11	22	51	58	101	51	6	0	True	20	260
5907a84a-da35-4d39-bf29-2bdcfbedc0e9_game_5.replay26	47	gunner	10	24	72	77	101	72	4	0	True	37	325
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_1.replay26	47	sentinel	7	11	34	46	101	34	7	0	True	34	370
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_1.replay26	47	gunner	23	12	50		101		0	0	False	445	13
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_2.replay26	47	gunner	8	12	17	33	228	17	23	2	True	45	73
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_2.replay26	47	gunner	8	11	21	28	228	21	28	1	True	40	68
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_2.replay26	47	gunner	13	11	39		228		0	0	False	125	13
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_2.replay26	47	gunner	7	9	48	223	228	48	30	14	True	25	81
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_2.replay26	47	gunner	12	13	56		228		0	0	False	116	32
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_2.replay26	47	gunner	4	1	62	119	228		0	0	True	68	208
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_2.replay26	47	gunner	3	2	73	123	228	73	1	0	True	50	218
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_2.replay26	47	gunner	6	2	140	145	228	140	1	0	True	65	149
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_3.replay26	47	gunner	11	16	21	26	195		8	0	True	100	232
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_3.replay26	47	gunner	8	9	31		195	31	1	0	True	98	130
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_3.replay26	47	gunner	15	6	35	72	195		0	0	False	296	20
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_3.replay26	47	gunner	5	9	45	126	195	45	7	0	True	65	193
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_3.replay26	47	gunner	19	6	55		195		0	0	False	424	20
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_3.replay26	47	gunner	15	2	76		195		0	0	False	392	4
