Update available: 2.3.6 -> 2.3.7. Run: pip install --upgrade fcode
Running match: _v131loki14off vs _probe_border_raw
BRAW r=52 unit=16 pos=(6,7) alive
BRAW r=52 unit=34 pos=(7,10) alive
BRAW r=53 unit=4 pos=(7,6) alive
BRAW r=53 unit=16 pos=(6,6) alive
BRAW r=53 unit=34 pos=(7,9) alive
BRAW r=54 unit=4 pos=(7,7) alive
BRAW r=54 unit=16 pos=(6,7) alive
BRAW r=54 unit=34 pos=(7,10) alive
BRAW r=55 unit=4 pos=(7,6) alive
BRAW r=55 unit=16 pos=(6,6) alive
BRAW r=55 unit=34 pos=(7,9) alive
BRAW r=56 unit=4 pos=(7,7) alive
BRAW r=56 unit=16 pos=(6,7) alive
BRAW r=56 unit=34 pos=(7,10) alive
BRAW r=57 unit=4 pos=(7,6) alive
BRAW r=57 unit=16 pos=(6,6) alive
BRAW r=57 unit=34 pos=(7,9) alive
BRAW r=58 unit=4 pos=(7,7) alive
BRAW r=58 unit=16 pos=(6,7) alive
BRAW r=58 unit=34 pos=(7,10) alive
BRAW r=59 unit=4 pos=(7,6) alive
BRAW r=59 unit=16 pos=(6,6) alive
BRAW r=59 unit=34 pos=(7,9) alive
BRAW r=60 unit=4 pos=(7,7) alive
BRAW r=60 unit=16 pos=(6,7) alive
BRAW r=60 unit=34 pos=(7,10) alive
BRAW r=61 unit=4 pos=(7,6) alive
BRAW r=61 unit=16 pos=(6,6) alive
BRAW r=61 unit=34 pos=(7,9) alive
BRAW r=61 unit=71 pos=(7,11) alive
BRAW r=62 unit=4 pos=(7,7) alive
BRAW r=62 unit=16 pos=(6,7) alive
BRAW r=62 unit=34 pos=(7,10) alive
BRAW r=62 unit=71 pos=(8,11) alive
Replay written to /dev/null

  Winner: _v131loki14off  (Core destroyed, turn 63)

               _v131loki14off    _probe_border_raw  
  Titanium      8 (270 mined)          8 (0 mined)  
  Units                     7                    4  
  Buildings                25                    0  

