match	game	opp	map	w	h	rounds	rnd	victim	victim_team	thrower_team	amb	ours_threw	enemy_victim	border	d2_launch	launcher_margin	removed_rnd	gap	undamaged_removal	within3
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	270	229	1	1	one	0	1	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	376	10	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	377	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	382	10	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	389	10	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	391	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	397	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	404	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	411	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	418	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	425	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	432	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	439	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	446	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	453	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	460	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	463	10	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	467	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	469	10	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	474	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	476	10	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	481	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	487	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	493	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	499	15	0	1	one	0	0	0	25	4	-1	-1	0	0
