file	turns	winner
499500fa-f1db-4265-85c2-4bf13aa76404_game_4.replay26	376	1
499500fa-f1db-4265-85c2-4bf13aa76404_game_5.replay26	553	0
4a67faa3-1d74-4260-81aa-732ac9726279_game_1.replay26	555	1
4a67faa3-1d74-4260-81aa-732ac9726279_game_2.replay26	77	0
4a67faa3-1d74-4260-81aa-732ac9726279_game_3.replay26	168	1
4a67faa3-1d74-4260-81aa-732ac9726279_game_4.replay26	408	0
4a67faa3-1d74-4260-81aa-732ac9726279_game_5.replay26	118	1
4b1180a4-1a97-40b3-98cf-3b22f4d60b96_game_1.replay26	1000	1
4b1180a4-1a97-40b3-98cf-3b22f4d60b96_game_2.replay26	82	0
4b1180a4-1a97-40b3-98cf-3b22f4d60b96_game_3.replay26	119	1
4b1180a4-1a97-40b3-98cf-3b22f4d60b96_game_4.replay26	323	0
4b1180a4-1a97-40b3-98cf-3b22f4d60b96_game_5.replay26	102	0
4b6fcb35-b620-4bbe-9b70-779a31618ef0_game_1.replay26	203	1
4b6fcb35-b620-4bbe-9b70-779a31618ef0_game_2.replay26	117	1
4b6fcb35-b620-4bbe-9b70-779a31618ef0_game_3.replay26	226	0
4b6fcb35-b620-4bbe-9b70-779a31618ef0_game_4.replay26	170	1
4b6fcb35-b620-4bbe-9b70-779a31618ef0_game_5.replay26	100	1
4dd3b5c3-3d28-4430-ae6b-6750fde01a15_game_1.replay26	845	0
4dd3b5c3-3d28-4430-ae6b-6750fde01a15_game_2.replay26	503	0
4dd3b5c3-3d28-4430-ae6b-6750fde01a15_game_3.replay26	361	1
4dd3b5c3-3d28-4430-ae6b-6750fde01a15_game_4.replay26	319	0
4dd3b5c3-3d28-4430-ae6b-6750fde01a15_game_5.replay26	357	0
50fd72bb-d5fe-4a0b-85f7-15355bbacaca_game_1.replay26	408	1
50fd72bb-d5fe-4a0b-85f7-15355bbacaca_game_2.replay26	1000	1
50fd72bb-d5fe-4a0b-85f7-15355bbacaca_game_3.replay26	1000	0
50fd72bb-d5fe-4a0b-85f7-15355bbacaca_game_4.replay26	133	0
50fd72bb-d5fe-4a0b-85f7-15355bbacaca_game_5.replay26	1000	1
528b6304-b79e-4edf-83fe-f4e44816be21_game_1.replay26	160	0
528b6304-b79e-4edf-83fe-f4e44816be21_game_2.replay26	270	1
528b6304-b79e-4edf-83fe-f4e44816be21_game_3.replay26	231	0
528b6304-b79e-4edf-83fe-f4e44816be21_game_4.replay26	170	0
528b6304-b79e-4edf-83fe-f4e44816be21_game_5.replay26	165	0
537cabeb-d0cc-4ba1-9063-b9342761e83b_game_1.replay26	297	0
537cabeb-d0cc-4ba1-9063-b9342761e83b_game_2.replay26	108	0
537cabeb-d0cc-4ba1-9063-b9342761e83b_game_3.replay26	167	1
537cabeb-d0cc-4ba1-9063-b9342761e83b_game_4.replay26	152	1
537cabeb-d0cc-4ba1-9063-b9342761e83b_game_5.replay26	111	0
54dacdb7-2276-48d2-9506-9154121290a5_game_1.replay26	402	1
54dacdb7-2276-48d2-9506-9154121290a5_game_2.replay26	316	1
54dacdb7-2276-48d2-9506-9154121290a5_game_3.replay26	83	1
54dacdb7-2276-48d2-9506-9154121290a5_game_4.replay26	133	0
54dacdb7-2276-48d2-9506-9154121290a5_game_5.replay26	238	1
5563a863-698f-497c-9ae4-52f052eeddff_game_1.replay26	181	0
5563a863-698f-497c-9ae4-52f052eeddff_game_2.replay26	116	0
5563a863-698f-497c-9ae4-52f052eeddff_game_3.replay26	143	0
5563a863-698f-497c-9ae4-52f052eeddff_game_4.replay26	310	0
5563a863-698f-497c-9ae4-52f052eeddff_game_5.replay26	96	0
55c5d3c7-0bed-4cc5-90e1-ca0df2eefc0d_game_1.replay26	310	1
55c5d3c7-0bed-4cc5-90e1-ca0df2eefc0d_game_2.replay26	340	0
55c5d3c7-0bed-4cc5-90e1-ca0df2eefc0d_game_3.replay26	351	1
55c5d3c7-0bed-4cc5-90e1-ca0df2eefc0d_game_4.replay26	201	0
55c5d3c7-0bed-4cc5-90e1-ca0df2eefc0d_game_5.replay26	128	1
5821a678-2991-44a7-891b-3e06cb1faa8b_game_1.replay26	184	1
5821a678-2991-44a7-891b-3e06cb1faa8b_game_2.replay26	81	0
5821a678-2991-44a7-891b-3e06cb1faa8b_game_3.replay26	122	0
5821a678-2991-44a7-891b-3e06cb1faa8b_game_4.replay26	102	0
5821a678-2991-44a7-891b-3e06cb1faa8b_game_5.replay26	100	0
59819e78-35fd-42da-91c7-4e659db6f922_game_1.replay26	277	0
59819e78-35fd-42da-91c7-4e659db6f922_game_2.replay26	115	0
59819e78-35fd-42da-91c7-4e659db6f922_game_3.replay26	167	0
59819e78-35fd-42da-91c7-4e659db6f922_game_4.replay26	116	0
59819e78-35fd-42da-91c7-4e659db6f922_game_5.replay26	78	0
5d23cc5f-2db1-4d8e-96aa-997180ce8f75_game_1.replay26	1000	1
5d23cc5f-2db1-4d8e-96aa-997180ce8f75_game_2.replay26	113	1
5d23cc5f-2db1-4d8e-96aa-997180ce8f75_game_3.replay26	107	1
5d23cc5f-2db1-4d8e-96aa-997180ce8f75_game_4.replay26	377	1
5d23cc5f-2db1-4d8e-96aa-997180ce8f75_game_5.replay26	163	1
5d8abc1f-6993-4263-a9a5-3b935f959eb5_game_1.replay26	194	0
5d8abc1f-6993-4263-a9a5-3b935f959eb5_game_2.replay26	135	0
5d8abc1f-6993-4263-a9a5-3b935f959eb5_game_3.replay26	170	1
5d8abc1f-6993-4263-a9a5-3b935f959eb5_game_4.replay26	117	1
5d8abc1f-6993-4263-a9a5-3b935f959eb5_game_5.replay26	96	1
6b67161c-7dc4-4cfd-99bc-dcfa495e440d_game_1.replay26	1000	1
6b67161c-7dc4-4cfd-99bc-dcfa495e440d_game_2.replay26	96	1
6b67161c-7dc4-4cfd-99bc-dcfa495e440d_game_3.replay26	143	0
6b67161c-7dc4-4cfd-99bc-dcfa495e440d_game_4.replay26	200	0
6b67161c-7dc4-4cfd-99bc-dcfa495e440d_game_5.replay26	63	1
6fd07d0b-5b72-4404-9642-a19414d3e46f_game_1.replay26	190	0
6fd07d0b-5b72-4404-9642-a19414d3e46f_game_2.replay26	317	1
6fd07d0b-5b72-4404-9642-a19414d3e46f_game_3.replay26	112	0
6fd07d0b-5b72-4404-9642-a19414d3e46f_game_4.replay26	148	0
6fd07d0b-5b72-4404-9642-a19414d3e46f_game_5.replay26	323	1
700a33ea-bac3-4a7a-9f4e-6aec86d35bca_game_1.replay26	377	1
700a33ea-bac3-4a7a-9f4e-6aec86d35bca_game_2.replay26	111	1
700a33ea-bac3-4a7a-9f4e-6aec86d35bca_game_3.replay26	72	1
700a33ea-bac3-4a7a-9f4e-6aec86d35bca_game_4.replay26	85	0
700a33ea-bac3-4a7a-9f4e-6aec86d35bca_game_5.replay26	77	0
73122a6b-8ae2-4bdf-83c0-6a009c0a2e6f_game_1.replay26	104	1
73122a6b-8ae2-4bdf-83c0-6a009c0a2e6f_game_2.replay26	245	1
73122a6b-8ae2-4bdf-83c0-6a009c0a2e6f_game_3.replay26	1000	0
73122a6b-8ae2-4bdf-83c0-6a009c0a2e6f_game_4.replay26	244	1
73122a6b-8ae2-4bdf-83c0-6a009c0a2e6f_game_5.replay26	261	1
7545327e-74c6-42fa-9359-a7917645c129_game_1.replay26	301	1
7545327e-74c6-42fa-9359-a7917645c129_game_2.replay26	120	1
7545327e-74c6-42fa-9359-a7917645c129_game_3.replay26	170	1
7545327e-74c6-42fa-9359-a7917645c129_game_4.replay26	202	1
7545327e-74c6-42fa-9359-a7917645c129_game_5.replay26	77	0
75eb13e7-ef33-4f12-a592-e7808b2a8561_game_1.replay26	146	0
75eb13e7-ef33-4f12-a592-e7808b2a8561_game_2.replay26	232	0
75eb13e7-ef33-4f12-a592-e7808b2a8561_game_3.replay26	232	1
75eb13e7-ef33-4f12-a592-e7808b2a8561_game_4.replay26	220	0
75eb13e7-ef33-4f12-a592-e7808b2a8561_game_5.replay26	525	0
76ce1bdd-e45c-456b-a666-3dc1a81ca6f4_game_1.replay26	102	1
76ce1bdd-e45c-456b-a666-3dc1a81ca6f4_game_2.replay26	534	0
76ce1bdd-e45c-456b-a666-3dc1a81ca6f4_game_3.replay26	602	0
76ce1bdd-e45c-456b-a666-3dc1a81ca6f4_game_4.replay26	163	0
76ce1bdd-e45c-456b-a666-3dc1a81ca6f4_game_5.replay26	96	1
786ed794-d3ce-4601-990c-d543e3dfb477_game_1.replay26	128	0
786ed794-d3ce-4601-990c-d543e3dfb477_game_2.replay26	1000	0
786ed794-d3ce-4601-990c-d543e3dfb477_game_3.replay26	170	0
786ed794-d3ce-4601-990c-d543e3dfb477_game_4.replay26	162	0
786ed794-d3ce-4601-990c-d543e3dfb477_game_5.replay26	147	0
78ed6e4b-88da-4774-b85c-67285afa001f_game_1.replay26	1000	0
78ed6e4b-88da-4774-b85c-67285afa001f_game_2.replay26	600	0
78ed6e4b-88da-4774-b85c-67285afa001f_game_3.replay26	146	1
78ed6e4b-88da-4774-b85c-67285afa001f_game_4.replay26	305	1
78ed6e4b-88da-4774-b85c-67285afa001f_game_5.replay26	104	1
7ed61b94-a4f8-439d-b417-a882aea705d8_game_1.replay26	126	0
7ed61b94-a4f8-439d-b417-a882aea705d8_game_2.replay26	145	0
