group	fwd	band	rnd	cause	n_shooters	n_shots	gun_shots	sent_shots	ff_shots	dmg_round	hp_start	max_hp	age	since_move	sm_bucket	since_act	thrown_ever	d2_enemy	depth_norm	batk_on_tile	healed_ever	n_enemy_bots_adj	rounds_since_first_dmg	n_dmg_rounds	gun_inrange	sent_inrange
US	1	3	325	EXACT	1	1	1	0	0	7	5	40	25	6	2	1	0	13	0.3004626062886658	0	0	0	5	5	3	0
US	1	3	343	EXACT	1	1	1	0	0	7	5	40	40	12	3	1	0	13	0.3004626062886658	0	0	0	11	5	4	0
US	1	3	356	EXACT	1	1	1	0	0	7	5	40	48	6	2	1	0	13	0.3004626062886658	0	0	0	5	5	3	0
US	1	3	362	EXACT	1	1	1	0	0	7	5	40	44	3	2	1	0	13	0.3004626062886658	0	0	0	30	5	3	0
US	1	3	383	EXACT	1	1	1	0	0	7	5	40	69	6	2	1	0	13	0.3004626062886658	0	0	0	5	5	3	0
US	0	0	30	EXACT	1	1	1	0	0	7	5	40	28	2	1	3	0	25	0.7142857142857143	0	0	0	6	4	2	0
US	0	0	50	EXACT	1	1	1	0	0	7	5	40	46	2	1	1	0	17	0.5890150893739515	0	0	2	16	4	5	0
US	0	1	60	EXACT	1	1	1	0	0	7	5	40	60	2	1	19	0	16	0.5714285714285714	0	0	1	7	4	4	0
US	0	2	184	EXACT	1	1	1	0	0	7	5	40	42	2	1	1	0	32	0.8081220356417687	0	0	0	6	5	4	0
US	1	3	318	EXACT	1	1	1	0	0	7	5	40	84	2	1	1	0	4	0.2857142857142857	0	0	0	18	4	9	0
US	1	3	457	EXACT	1	1	1	0	0	7	5	40	95	5	2	1	0	9	0.42857142857142855	0	0	0	6	5	6	0
US	1	4	585	EXACT	1	1	1	0	0	7	5	40	95	6	2	1	0	9	0.42857142857142855	0	0	0	5	5	7	0
US	0	4	597	EXACT	1	1	1	0	0	7	5	40	594	1	0	2	0	41	0.9147320339189784	0	0	0	477	5	3	0
US	0	4	639	EXACT	1	1	1	0	0	7	5	40	638	1	0	52	0	72	1.2121830534626528	0	0	1	616	5	1	0
US	0	4	664	EXACT	1	1	1	0	0	7	5	40	78	1	0	3	0	29	0.769309258162072	0	0	0	12	4	8	0
US	1	4	684	EXACT	1	1	1	0	0	7	5	40	598	7	2	1	0	29	0.769309258162072	0	0	0	501	5	3	0
US	0	4	736	EXACT	1	1	1	0	0	7	5	40	225	128	4	1	0	82	1.2936264483053452	0	0	1	5	5	2	0
US	1	1	147	EXACT	1	1	1	0	0	7	5	40	146	1	0	3	0	8	0.3535533905932738	0	0	1	84	5	4	0
US	1	2	199	EXACT	1	1	1	0	0	7	5	40	199	1	0	3	0	10	0.39528470752104744	0	0	0	43	5	5	0
US	0	2	200	EXACT	1	1	1	0	0	7	2	40	197	19	3	1	0	20	0.5590169943749475	0	1	1	140	6	3	0
US	0	2	214	EXACT	2	2	2	0	0	14	12	40	210	10	3	1	0	29	0.673145600891813	0	0	0	9	4	2	0
US	1	2	240	EXACT	1	1	1	0	0	7	5	40	34	1	0	2	0	13	0.45069390943299864	0	0	0	26	5	4	0
US	0	2	249	EXACT	1	1	1	0	0	7	5	40	247	7	2	1	0	29	0.673145600891813	0	0	1	156	5	2	0
US	1	3	307	EXACT	1	1	1	0	0	7	5	40	89	1	0	15	0	40	0.7905694150420949	0	0	0	70	5	2	0
