file	ev	rnd	team	kind	x	y	d2_own	d2_enemy	mw	mh
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	2	1	builder_bot	20	2	2	648	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	2	1	harvester	23	7	20	610	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	3	0	builder_bot	1	22	5	761	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	3	1	builder_bot	20	4	2	580	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	4	0	builder_bot	4	22	8	650	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	4	1	conveyor	22	5	5	625	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	5	1	conveyor	22	7	17	569	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	6	0	harvester	1	17	10	596	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	6	1	conveyor	22	6	10	596	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	7	0	builder_bot	3	19	2	580	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	8	0	conveyor	1	18	5	625	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	10	0	conveyor	1	19	2	656	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	10	0	harvester	9	17	58	340	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	11	1	harvester	15	7	52	338	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	12	0	conveyor	1	20	1	689	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	12	0	conveyor	8	17	45	365	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	12	1	harvester	11	3	100	370	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	13	1	conveyor	21	7	16	530	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	13	1	conveyor	19	7	20	458	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	13	1	conveyor	16	7	41	365	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	14	0	conveyor	7	17	34	392	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	14	1	conveyor	12	3	81	389	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	15	1	conveyor	20	7	17	493	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	15	1	conveyor	18	7	25	425	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	15	1	conveyor	17	7	32	394	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	16	0	conveyor	6	17	25	421	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	16	1	conveyor	13	3	64	410	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	16	0	harvester	5	13	58	356	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	18	0	conveyor	5	17	18	452	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	18	1	conveyor	14	3	49	433	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	18	0	conveyor	4	13	53	389	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	19	1	harvester	19	11	68	370	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	19	1	conveyor	18	3	9	545	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	20	1	conveyor	20	3	1	613	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	20	1	conveyor	19	9	40	410	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	20	0	conveyor	4	17	13	485	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	20	1	conveyor	15	3	36	458	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	20	0	conveyor	4	14	40	410	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	21	1	conveyor	17	3	16	514	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	22	1	conveyor	19	3	4	578	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	22	1	conveyor	19	10	53	389	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	22	0	conveyor	3	17	10	520	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	22	1	conveyor	16	3	25	485	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	22	0	conveyor	4	15	29	433	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	24	0	conveyor	3	18	5	549	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	24	0	conveyor	4	16	20	458	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	25	1	conveyor	19	8	29	433	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	26	0	conveyor	3	19	2	580	25	25
