tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
flagoff_fjordgate_s1_A	fjordgate	1	A	flagoff	US	flagoff_arm	Core destroyed	117	0	450	60
v531fix_fjordgate_s1_A	fjordgate	1	A	v531fix	OPP	_v488beltbreak2	Core destroyed	112	0	510	660
nomouth_fjordgate_s1_A	fjordgate	1	A	nomouth	OPP	_v488beltbreak2	Core destroyed	183	0	110	1240
cap6_fjordgate_s1_A	fjordgate	1	A	cap6	US	cap6_arm	Core destroyed	238	0	890	1130
parent_fjordgate_s1_B	fjordgate	1	B	parent	US	parent_arm	Core destroyed	590	0	1590	1590
flagoff_fjordgate_s1_B	fjordgate	1	B	flagoff	US	flagoff_arm	Core destroyed	210	0	1370	0
v531fix_fjordgate_s1_B	fjordgate	1	B	v531fix	US	_v531fix	Core destroyed	193	0	1150	240
nomouth_fjordgate_s1_B	fjordgate	1	B	nomouth	US	nomouth_arm	Core destroyed	132	0	400	0
cap6_fjordgate_s1_B	fjordgate	1	B	cap6	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	130	2470
parent_fjordgate_s2_A	fjordgate	2	A	parent	OPP	_v488beltbreak2	Core destroyed	132	0	110	430
flagoff_fjordgate_s2_A	fjordgate	2	A	flagoff	US	flagoff_arm	Core destroyed	193	0	750	0
v531fix_fjordgate_s2_A	fjordgate	2	A	v531fix	US	_v531fix	Core destroyed	208	0	310	130
nomouth_fjordgate_s2_A	fjordgate	2	A	nomouth	OPP	_v488beltbreak2	Core destroyed	221	0	430	1400
cap6_fjordgate_s2_A	fjordgate	2	A	cap6	US	cap6_arm	Core destroyed	333	0	2270	1140
parent_fjordgate_s2_B	fjordgate	2	B	parent	US	parent_arm	Core destroyed	167	0	770	0
flagoff_fjordgate_s2_B	fjordgate	2	B	flagoff	US	flagoff_arm	Core destroyed	145	0	910	0
v531fix_fjordgate_s2_B	fjordgate	2	B	v531fix	US	_v531fix	Core destroyed	349	0	1720	1270
nomouth_fjordgate_s2_B	fjordgate	2	B	nomouth	OPP	_v488beltbreak2	Core destroyed	247	0	1010	1150
cap6_fjordgate_s2_B	fjordgate	2	B	cap6	US	cap6_arm	Core destroyed	142	0	340	70
parent_midgard_s1_A	midgard	1	A	parent	US	parent_arm	Core destroyed	226	0	2590	920
flagoff_midgard_s1_A	midgard	1	A	flagoff	US	flagoff_arm	Core destroyed	472	0	1650	720
v531fix_midgard_s1_A	midgard	1	A	v531fix	US	_v531fix	Core destroyed	168	0	1000	730
nomouth_midgard_s1_A	midgard	1	A	nomouth	US	nomouth_arm	Core destroyed	258	0	1560	700
cap6_midgard_s1_A	midgard	1	A	cap6	US	cap6_arm	Core destroyed	180	0	1040	810
parent_midgard_s1_B	midgard	1	B	parent	US	parent_arm	Core destroyed	225	0	1090	570
flagoff_midgard_s1_B	midgard	1	B	flagoff	OPP	_v488beltbreak2	Core destroyed	240	0	900	2170
v531fix_midgard_s1_B	midgard	1	B	v531fix	US	_v531fix	Titanium collected (tiebreak)	1000	0	890	570
nomouth_midgard_s1_B	midgard	1	B	nomouth	OPP	_v488beltbreak2	Core destroyed	141	0	1080	1340
cap6_midgard_s1_B	midgard	1	B	cap6	US	cap6_arm	Core destroyed	290	0	2110	1110
parent_midgard_s2_A	midgard	2	A	parent	US	parent_arm	Core destroyed	372	0	2210	640
flagoff_midgard_s2_A	midgard	2	A	flagoff	US	flagoff_arm	Core destroyed	173	0	1380	550
v531fix_midgard_s2_A	midgard	2	A	v531fix	OPP	_v488beltbreak2	Core destroyed	499	0	630	4110
nomouth_midgard_s2_A	midgard	2	A	nomouth	OPP	_v488beltbreak2	Core destroyed	321	0	600	860
cap6_midgard_s2_A	midgard	2	A	cap6	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	500	620
parent_midgard_s2_B	midgard	2	B	parent	US	parent_arm	Core destroyed	411	0	1240	660
flagoff_midgard_s2_B	midgard	2	B	flagoff	US	flagoff_arm	Titanium collected (tiebreak)	1000	0	750	610
v531fix_midgard_s2_B	midgard	2	B	v531fix	OPP	_v488beltbreak2	Core destroyed	413	0	940	580
nomouth_midgard_s2_B	midgard	2	B	nomouth	US	nomouth_arm	Core destroyed	153	0	940	450
cap6_midgard_s2_B	midgard	2	B	cap6	US	cap6_arm	Core destroyed	387	0	1580	700
parent_atoll_s3_A	atoll	3	A	parent	US	parent_arm	Core destroyed	309	0	320	330
flagoff_atoll_s3_A	atoll	3	A	flagoff	US	flagoff_arm	Core destroyed	225	0	980	510
v531fix_atoll_s3_A	atoll	3	A	v531fix	US	_v531fix	Core destroyed	433	0	290	920
nomouth_atoll_s3_A	atoll	3	A	nomouth	US	nomouth_arm	Core destroyed	498	0	2490	810
cap6_atoll_s3_A	atoll	3	A	cap6	US	cap6_arm	Core destroyed	177	0	410	370
parent_atoll_s3_B	atoll	3	B	parent	OPP	_v488beltbreak2	Core destroyed	180	0	330	1370
flagoff_atoll_s3_B	atoll	3	B	flagoff	US	flagoff_arm	Core destroyed	329	0	320	370
v531fix_atoll_s3_B	atoll	3	B	v531fix	US	_v531fix	Core destroyed	602	0	1180	160
nomouth_atoll_s3_B	atoll	3	B	nomouth	OPP	_v488beltbreak2	Core destroyed	228	0	950	2510
cap6_atoll_s3_B	atoll	3	B	cap6	OPP	_v488beltbreak2	Core destroyed	157	0	0	750
parent_atoll_s4_A	atoll	4	A	parent	OPP	_v488beltbreak2	Core destroyed	190	0	220	1350
flagoff_atoll_s4_A	atoll	4	A	flagoff	OPP	_v488beltbreak2	Core destroyed	203	0	650	2020
v531fix_atoll_s4_A	atoll	4	A	v531fix	US	_v531fix	Core destroyed	716	0	1700	270
nomouth_atoll_s4_A	atoll	4	A	nomouth	US	nomouth_arm	Core destroyed	528	0	2340	320
cap6_atoll_s4_A	atoll	4	A	cap6	OPP	_v488beltbreak2	Core destroyed	376	0	490	1730
parent_atoll_s4_B	atoll	4	B	parent	OPP	_v488beltbreak2	Core destroyed	298	0	340	3510
flagoff_atoll_s4_B	atoll	4	B	flagoff	US	flagoff_arm	Core destroyed	788	0	1070	230
v531fix_atoll_s4_B	atoll	4	B	v531fix	OPP	_v488beltbreak2	Core destroyed	576	0	0	2380
nomouth_atoll_s4_B	atoll	4	B	nomouth	US	nomouth_arm	Core destroyed	164	0	780	480
cap6_atoll_s4_B	atoll	4	B	cap6	OPP	_v488beltbreak2	Core destroyed	505	0	690	3320
parent_drakkarfjord_s3_A	drakkarfjord	3	A	parent	US	parent_arm	Core destroyed	93	0	340	0
flagoff_drakkarfjord_s3_A	drakkarfjord	3	A	flagoff	US	flagoff_arm	Core destroyed	89	0	340	0
v531fix_drakkarfjord_s3_A	drakkarfjord	3	A	v531fix	US	_v531fix	Core destroyed	267	0	950	0
nomouth_drakkarfjord_s3_A	drakkarfjord	3	A	nomouth	US	nomouth_arm	Core destroyed	96	0	300	0
cap6_drakkarfjord_s3_A	drakkarfjord	3	A	cap6	US	cap6_arm	Core destroyed	101	0	320	0
parent_drakkarfjord_s3_B	drakkarfjord	3	B	parent	US	parent_arm	Core destroyed	306	0	2790	0
flagoff_drakkarfjord_s3_B	drakkarfjord	3	B	flagoff	US	flagoff_arm	Titanium collected (tiebreak)	1000	0	320	0
v531fix_drakkarfjord_s3_B	drakkarfjord	3	B	v531fix	US	_v531fix	Core destroyed	269	0	0	0
nomouth_drakkarfjord_s3_B	drakkarfjord	3	B	nomouth	US	nomouth_arm	Core destroyed	153	0	330	0
cap6_drakkarfjord_s3_B	drakkarfjord	3	B	cap6	US	cap6_arm	Core destroyed	137	0	590	0
parent_drakkarfjord_s4_A	drakkarfjord	4	A	parent	US	parent_arm	Core destroyed	95	0	360	0
flagoff_drakkarfjord_s4_A	drakkarfjord	4	A	flagoff	US	flagoff_arm	Core destroyed	99	0	300	0
v531fix_drakkarfjord_s4_A	drakkarfjord	4	A	v531fix	US	_v531fix	Core destroyed	257	0	940	0
