file	team	band	metric	n
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	0	r0-150	batk	22
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	1	r0-150	build_barrier	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	0	r0-150	build_sentinel	2
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	1	r150-200	batk	46
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	0	r150-200	shot	30
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	0	r150-200	build_conveyor	15
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	0	r150-200	build_sentinel	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	0	r150-200	build_harvester	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	0	r0-150	build_builder_bot	6
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	1	r0-150	build_builder_bot	7
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	1	r0-150	build_harvester	3
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	0	r0-150	build_harvester	3
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	1	r0-150	build_conveyor	7
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	0	r0-150	build_conveyor	25
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	0	r0-150	build_sentinel	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	1	r0-150	build_gunner	4
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	0	r0-150	shot	56
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	1	r0-150	shot	57
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	1	r0-150	batk	24
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	0	r0-150	batk	32
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	1	r0-150	build_barrier	1
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	0	r0-150	build_barrier	8
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	0	r0-150	build_gunner	1
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	0	r0-150	build_builder_bot	5
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	1	r0-150	build_builder_bot	5
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	1	r0-150	build_conveyor	40
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	1	r0-150	build_harvester	4
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	0	r0-150	build_gunner	4
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	0	r0-150	shot	114
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	0	r150-200	shot	30
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	0	r200-300	shot	62
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	0	r300+	shot	438
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	0	r0-150	build_builder_bot	8
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	1	r0-150	build_builder_bot	5
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	1	r0-150	build_conveyor	146
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	1	r0-150	build_harvester	2
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	0	r0-150	build_gunner	4
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	0	r0-150	shot	49
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	1	r150-200	build_conveyor	33
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	0	r150-200	build_builder_bot	1
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	1	r200-300	build_conveyor	52
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	0	r200-300	build_builder_bot	2
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	1	r300+	build_conveyor	36
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	0	r300+	build_builder_bot	2
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	0	r300+	shot	25
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	0	r0-150	build_builder_bot	6
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	1	r0-150	build_builder_bot	5
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	1	r0-150	build_conveyor	34
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	0	r0-150	build_gunner	3
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	0	r0-150	shot	109
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	1	r0-150	build_harvester	3
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	0	r150-200	shot	12
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	1	r150-200	build_gunner	1
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	0	r150-200	build_builder_bot	1
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	0	r200-300	shot	44
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	0	r200-300	build_builder_bot	1
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	1	r200-300	build_gunner	2
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	1	r200-300	build_conveyor	1
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	0	r300+	shot	438
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	1	r300+	build_gunner	1
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	0	r0-150	build_builder_bot	5
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	1	r0-150	build_builder_bot	5
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	1	r0-150	build_conveyor	46
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	1	r0-150	build_harvester	4
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	0	r0-150	build_gunner	3
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	0	r0-150	shot	127
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	1	r0-150	build_gunner	1
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	1	r0-150	shot	1
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	0	r150-200	shot	30
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	1	r150-200	build_conveyor	8
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	0	r200-300	shot	62
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	1	r200-300	build_conveyor	6
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	1	r200-300	build_gunner	1
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	1	r200-300	shot	4
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	0	r300+	shot	328
