file	match	game	opp	oppver	ourver	oppbef	map	cond	turns	won	our_team
13fc7fef-82b3-44c3-b8ad-0e2231562ae4_game_1.replay26	13fc7fef-82b3-44c3-b8ad-0e2231562ae4	1	Leviathan	None	80	1542.827036498861	atoll	core_destroyed	288	0	0
13fc7fef-82b3-44c3-b8ad-0e2231562ae4_game_2.replay26	13fc7fef-82b3-44c3-b8ad-0e2231562ae4	2	Leviathan	None	80	1542.827036498861	fjordgate	titanium_collected	1000	1	0
13fc7fef-82b3-44c3-b8ad-0e2231562ae4_game_3.replay26	13fc7fef-82b3-44c3-b8ad-0e2231562ae4	3	Leviathan	None	80	1542.827036498861	snowflake	core_destroyed	144	0	0
13fc7fef-82b3-44c3-b8ad-0e2231562ae4_game_4.replay26	13fc7fef-82b3-44c3-b8ad-0e2231562ae4	4	Leviathan	None	80	1542.827036498861	hive	core_destroyed	326	0	0
13fc7fef-82b3-44c3-b8ad-0e2231562ae4_game_5.replay26	13fc7fef-82b3-44c3-b8ad-0e2231562ae4	5	Leviathan	None	80	1542.827036498861	lighthouse	core_destroyed	286	1	0
154796a9-4ba6-413f-b26c-c1b4902518a8_game_1.replay26	154796a9-4ba6-413f-b26c-c1b4902518a8	1	The Bisons	None	80	1531.694344031015	moonrise	core_destroyed	598	0	1
154796a9-4ba6-413f-b26c-c1b4902518a8_game_2.replay26	154796a9-4ba6-413f-b26c-c1b4902518a8	2	The Bisons	None	80	1531.694344031015	meander	core_destroyed	161	1	1
154796a9-4ba6-413f-b26c-c1b4902518a8_game_3.replay26	154796a9-4ba6-413f-b26c-c1b4902518a8	3	The Bisons	None	80	1531.694344031015	fjordgate	core_destroyed	484	1	1
154796a9-4ba6-413f-b26c-c1b4902518a8_game_4.replay26	154796a9-4ba6-413f-b26c-c1b4902518a8	4	The Bisons	None	80	1531.694344031015	nordkap	core_destroyed	62	1	1
154796a9-4ba6-413f-b26c-c1b4902518a8_game_5.replay26	154796a9-4ba6-413f-b26c-c1b4902518a8	5	The Bisons	None	80	1531.694344031015	eider	core_destroyed	71	1	1
167f3c58-c478-4962-adb1-e48455103776_game_1.replay26	167f3c58-c478-4962-adb1-e48455103776	1	Askar City	None	68	1530.4506742924414	meander	core_destroyed	91	1	0
167f3c58-c478-4962-adb1-e48455103776_game_2.replay26	167f3c58-c478-4962-adb1-e48455103776	2	Askar City	None	68	1530.4506742924414	snowflake	core_destroyed	143	1	0
167f3c58-c478-4962-adb1-e48455103776_game_3.replay26	167f3c58-c478-4962-adb1-e48455103776	3	Askar City	None	68	1530.4506742924414	antler	core_destroyed	117	1	0
167f3c58-c478-4962-adb1-e48455103776_game_4.replay26	167f3c58-c478-4962-adb1-e48455103776	4	Askar City	None	68	1530.4506742924414	archipelago	core_destroyed	126	1	0
167f3c58-c478-4962-adb1-e48455103776_game_5.replay26	167f3c58-c478-4962-adb1-e48455103776	5	Askar City	None	68	1530.4506742924414	jackpot	core_destroyed	69	0	0
16e6c29f-92d5-42a3-b2a2-ac46cbf9cfb2_game_1.replay26	16e6c29f-92d5-42a3-b2a2-ac46cbf9cfb2	1	Ouroboros	None	80	1598.9481844973004	lighthouse	titanium_collected	1000	0	1
16e6c29f-92d5-42a3-b2a2-ac46cbf9cfb2_game_2.replay26	16e6c29f-92d5-42a3-b2a2-ac46cbf9cfb2	2	Ouroboros	None	80	1598.9481844973004	saga	titanium_collected	1000	0	1
16e6c29f-92d5-42a3-b2a2-ac46cbf9cfb2_game_3.replay26	16e6c29f-92d5-42a3-b2a2-ac46cbf9cfb2	3	Ouroboros	None	80	1598.9481844973004	hive	core_destroyed	356	0	1
16e6c29f-92d5-42a3-b2a2-ac46cbf9cfb2_game_4.replay26	16e6c29f-92d5-42a3-b2a2-ac46cbf9cfb2	4	Ouroboros	None	80	1598.9481844973004	atoll	core_destroyed	572	0	1
