file	rnd	band	team	kind	x	y	d2_own	d2_enemy	side	winner
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	81	r0-150	0	gunner	10	12	37	37	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	95	r0-150	1	gunner	12	8	109	13	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	96	r0-150	0	gunner	6	11	34	58	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	113	r0-150	0	gunner	5	11	41	65	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	119	r0-150	0	gunner	12	11	34	58	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	128	r0-150	0	gunner	12	15	90	18	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	134	r0-150	0	gunner	11	15	85	13	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	156	r150-200	0	gunner	10	15	82	10	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	163	r150-200	0	gunner	5	11	41	65	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	177	r150-200	0	gunner	10	22	257	17	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	194	r150-200	0	gunner	8	12	37	37	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	204	r200-300	0	gunner	9	11	25	49	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	210	r200-300	0	gunner	9	15	81	9	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	216	r200-300	0	gunner	6	18	153	9	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	224	r200-300	0	gunner	11	16	104	8	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	231	r200-300	0	gunner	11	17	125	5	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	238	r200-300	0	gunner	7	19	173	5	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	248	r200-300	0	gunner	8	13	50	26	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	256	r200-300	0	gunner	4	18	169	25	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	282	r200-300	0	gunner	4	17	146	26	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_3.replay26	299	r200-300	0	gunner	13	17	137	17	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	15	r0-150	0	gunner	9	5	40	40	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	17	r0-150	1	gunner	6	4	74	10	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	20	r0-150	0	gunner	7	5	20	52	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	32	r0-150	1	gunner	10	6	26	58	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	34	r0-150	0	gunner	8	6	34	34	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	45	r0-150	0	gunner	12	6	90	26	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	58	r0-150	0	gunner	8	10	74	10	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	69	r0-150	0	gunner	7	10	65	17	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	74	r0-150	1	gunner	8	9	13	61	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	82	r0-150	0	gunner	9	13	136	8	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	93	r0-150	0	gunner	11	9	100	4	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	98	r0-150	0	gunner	8	14	146	18	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	109	r0-150	0	gunner	11	6	73	25	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	122	r0-150	0	gunner	8	13	125	13	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	128	r0-150	0	sentinel	12	7	97	17	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	134	r0-150	0	gunner	7	12	97	17	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	143	r0-150	0	sentinel	9	8	61	13	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_4.replay26	155	r150-200	0	sentinel	11	8	89	9	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	18	r0-150	0	sentinel	9	3	170	26	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	19	r0-150	1	gunner	13	6	17	185	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	22	r0-150	1	gunner	13	5	10	202	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	22	r0-150	1	gunner	12	2	4	244	HOME	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	56	r0-150	1	gunner	9	10	89	65	FORWARD	0
010a31c1-5786-44ef-b06f-4d0d14194c0b_game_5.replay26	109	r0-150	0	gunner	7	10	41	113	HOME	0
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	35	r0-150	0	gunner	18	21	485	9	FORWARD	1
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	37	r0-150	0	gunner	21	19	514	10	FORWARD	1
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	37	r0-150	0	gunner	18	20	452	4	FORWARD	1
010eb62d-8337-4411-beef-811b8fbf6543_game_1.replay26	39	r0-150	0	gunner	20	19	481	5	FORWARD	1
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	33	r0-150	0	gunner	23	5	666	8	FORWARD	0
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	37	r0-150	0	gunner	24	5	709	13	FORWARD	0
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	43	r0-150	0	gunner	24	2	808	10	FORWARD	0
010eb62d-8337-4411-beef-811b8fbf6543_game_2.replay26	44	r0-150	0	gunner	23	3	730	4	FORWARD	0
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	8	r0-150	0	gunner	16	10	82	10	FORWARD	1
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	11	r0-150	0	gunner	17	10	101	5	FORWARD	1
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	16	r0-150	0	gunner	17	12	109	13	FORWARD	1
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	161	r150-200	1	gunner	18	11	5	125	HOME	1
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	265	r200-300	1	gunner	18	11	5	125	HOME	1
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	289	r200-300	1	gunner	18	11	5	125	HOME	1
010eb62d-8337-4411-beef-811b8fbf6543_game_3.replay26	313	r300+	1	gunner	18	11	5	125	HOME	1
