file	team	kind	band	turns	tled	exec_sum	exec_max	over10k
off_kladde_hive_0.replay26	0	launcher	r500p	500	0	0	0	0
off_kladde_hive_0.replay26	1	gunner	r500p	1000	0	0	0	0
off_kladde_hive_0.replay26	1	sentinel	r500p	1500	0	0	0	0
off_kladde_hive_0.replay26	0	sentinel	r500p	1000	0	0	0	0
off_kladde_hive_1.replay26	0	core	r0_99	100	0	0	0	0
off_kladde_hive_1.replay26	1	core	r0_99	100	0	0	0	0
off_kladde_hive_1.replay26	0	builder_bot	r0_99	484	0	0	0	0
off_kladde_hive_1.replay26	1	builder_bot	r0_99	616	0	0	0	0
off_kladde_hive_1.replay26	0	launcher	r0_99	86	0	0	0	0
off_kladde_hive_1.replay26	1	gunner	r0_99	78	0	0	0	0
off_kladde_hive_1.replay26	1	sentinel	r0_99	51	0	0	0	0
off_kladde_hive_1.replay26	0	sentinel	r0_99	22	0	0	0	0
off_kladde_hive_1.replay26	0	core	r100_249	150	0	0	0	0
off_kladde_hive_1.replay26	1	core	r100_249	150	0	0	0	0
off_kladde_hive_1.replay26	0	builder_bot	r100_249	750	0	0	0	0
off_kladde_hive_1.replay26	1	builder_bot	r100_249	1306	0	0	0	0
off_kladde_hive_1.replay26	0	launcher	r100_249	150	0	0	0	0
off_kladde_hive_1.replay26	1	gunner	r100_249	249	0	0	0	0
off_kladde_hive_1.replay26	1	sentinel	r100_249	361	0	0	0	0
off_kladde_hive_1.replay26	0	sentinel	r100_249	173	0	0	0	0
off_kladde_hive_1.replay26	0	core	r250_499	250	0	0	0	0
off_kladde_hive_1.replay26	1	core	r250_499	250	0	0	0	0
off_kladde_hive_1.replay26	0	builder_bot	r250_499	1250	0	0	0	0
off_kladde_hive_1.replay26	1	builder_bot	r250_499	1766	0	0	0	0
off_kladde_hive_1.replay26	0	launcher	r250_499	250	0	0	0	0
off_kladde_hive_1.replay26	1	gunner	r250_499	500	0	0	0	0
off_kladde_hive_1.replay26	1	sentinel	r250_499	750	0	0	0	0
off_kladde_hive_1.replay26	0	sentinel	r250_499	500	0	0	0	0
off_kladde_hive_1.replay26	0	core	r500p	500	0	0	0	0
off_kladde_hive_1.replay26	1	core	r500p	500	0	0	0	0
off_kladde_hive_1.replay26	0	builder_bot	r500p	2499	0	0	0	0
off_kladde_hive_1.replay26	1	builder_bot	r500p	3500	0	0	0	0
off_kladde_hive_1.replay26	0	launcher	r500p	500	0	0	0	0
off_kladde_hive_1.replay26	1	gunner	r500p	1000	0	0	0	0
off_kladde_hive_1.replay26	1	sentinel	r500p	1500	0	0	0	0
off_kladde_hive_1.replay26	0	sentinel	r500p	1000	0	0	0	0
off_kladde_nordkap_0.replay26	0	core	r0_99	100	0	0	0	0
off_kladde_nordkap_0.replay26	1	core	r0_99	100	0	0	0	0
off_kladde_nordkap_0.replay26	0	builder_bot	r0_99	390	0	0	0	0
off_kladde_nordkap_0.replay26	1	builder_bot	r0_99	494	0	0	0	0
