tag	map	seed	seat	rounds	won	spawn_n	spawn1_rnd	spawn4_rnd	spawn_fwd4	spawn_fwd_pos4	spawn_n30	harv1_rnd	harv1_dour	harv1_dtheir	harv_n30	harv_n60	harv_n	opp_harv1_rnd	opp_harv_n30	opp_harv_n60	conv1_rnd	conv_n30	conv_n60	opp_conv_n30	turret_n	opp_turret_n	ti_bank30	ti_coll30	opp_coll30	ti_bank60	ti_coll60	opp_coll60	ti_bank100	ti_coll100	opp_coll100	ti_bank200	ti_coll200	opp_coll200	ti_coll_end	opp_coll_end	harv_live30	harv_wired30	conv_good30	enemy_ourring30	conv_dmin30	harv_dmin30	conv_home30	harv_live60	harv_wired60	conv_good60	enemy_ourring60	conv_dmin60	harv_dmin60	conv_home60	harv_live100	harv_wired100	conv_good100	enemy_ourring100	conv_dmin100	harv_dmin100	conv_home100	harv_live150	harv_wired150	conv_good150	enemy_ourring150	conv_dmin150	harv_dmin150	conv_home150	head2_rnd	head1_rnd	head_dmin_ever	headadj_free_rnds	headadj_enemy_rnds	headadj_own_rnds	headadj_free_share	replan_rnds	replan_share	replan_dist	ringfree_rounds_after_head2	rounds_after_head2	ringfree_share_after_head2	homering_n	eseal30	ebar30	oseal30	free30	eseal60	ebar60	oseal60	free60	eseal100	ebar100	oseal100	free100	eseal150	ebar150	oseal150	free150	eseal_first	ebar_first	eseal_max	oseal_max	eseal_mean	bots_ours	bots_theirs	moves	rev_rate	choke_step_rate	dep_rnd	arr36_rnd	arr16_rnd	n_reach36	n_reach16	reach36_share	stall_bots	bfs_cc	route_steps	route_detour	arr16_hops	arr16_walks	throws_ours	throws_opp	throw1_rnd	throws_ours30	throw_fwd	throw_back	throw_gain	turret_dmin	turret1_rnd	turret_n30	turret_n_theirhalf	fwdbuild_n	fwdbuild1_rnd	fwdbuild_n100	fc_rnd	fc_victim_ours	fc_weapon	fc_basin	fc_dour	fc_dtheir	fc_pres0	fc_pres20	atring_first8	atring_first16	atring_rnds8	atring_share8	atring_share16	atring_bodyrnds	atring_peak	establish_first	establish_rnds	establish_share	establish_peak	raider_n	raider_life_med	kill_sentinel	kill_gunner	kill_builder_attack	kill_none	apron_death_med	apron_death_first	ourbot_deaths	oppbot_deaths	death_home	death_mid	death_apron	death_tiles	death_top1	death_conc	death_med_rnd	death_choke	our_recv_sent	our_recv_gun	our_recv_peck	opp_recv_sent	opp_recv_gun	opp_recv_peck	ourcore_firsthit	ourcore_min	ourcore_r150	oppcore_firsthit	oppcore_min	oppcore_r150	tape_ours_won	tape_turn	cond
cap6_drakkarfjord_s4_B	drakkarfjord	4	B	123	1	4	0	3	1.376	4	4	9	9	33	2	2	2	15	3	3	10	17	18	9	6	1	3	30	0	24	200	0	14	340	0	14	340	0	340	0	2	1	8	0	1	9	1	2	2	18	5	1	9	2	2	0	1	8	1	9	1	0	0	0	0	-1	-1	0	21	23	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	7	5	5	0	1	6	6	0	0	-1	-1	-1	-1	44	44	6	0	3.154	4	6	428	0.5818	0.0023	6	12	14	2	2	0.5	0	42	9	0.214	5	5	10	0	6	10	10	0	68	3	5	5	3	16	11	15	18	1	sentinel	theirs	42	1	2	2	14	14	108	0.878	0.886	180	2	15	108	0.878	11	2	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	7	0	20	41	0	0	-1	500	500	42	0	0	1	123	Core destroyed
parent_glacierkeep_s3_A	glacierkeep	3	A	121	1	5	0	3	1.25	4	5	13	11	35	2	2	2	16	3	3	14	10	13	9	5	2	0	0	0	12	90	0	12	140	0	12	140	0	140	0	2	0	0	2	4	11	0	2	1	10	7	1	11	1	2	0	1	8	1	11	1	0	0	0	0	-1	-1	0	36	40	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	6	7	7	0	0	7	7	0	0	-1	-1	-1	-1	23	23	7	0	4.661	5	5	381	0.4829	0.0052	6	10	11	2	2	0.4	0	23	6	0.261	3	7	7	0	6	7	7	0	34	3	5	4	3	13	9	13	19	1	gunner	ours	9	14	2	2	12	11	95	0.785	0.909	141	2	13	108	0.893	10	2	15	1	1	0	0	96	96	2	0	0	1	1	2	1	0.5	96	0	3	12	10	28	0	0	-1	500	500	49	0	0	1	121	Core destroyed
flagoff_glacierkeep_s3_A	glacierkeep	3	A	201	1	5	0	3	1.25	4	5	13	11	35	2	2	2	17	3	3	14	10	18	9	7	3	4	0	0	46	90	0	4	140	110	14	140	110	140	110	2	0	0	1	4	11	0	1	1	10	5	1	11	1	1	0	1	7	1	11	1	1	0	1	7	1	11	1	36	40	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	7	5	5	0	2	6	6	0	1	6	6	0	1	28	28	6	0	4.687	5	5	708	0.5254	0.0042	6	10	11	2	2	0.4	0	23	6	0.261	3	5	7	4	6	7	7	0	35	2	5	4	4	15	9	15	15	0	builder_attack	theirs	23	2	2	2	12	11	180	0.896	0.945	275	2	13	188	0.935	13	2	75	0	1	0	0	-1	-1	1	0	0	1	0	1	1	1.0	85	0	0	26	13	28	0	30	-1	500	500	101	0	230	1	201	Core destroyed
v531fix_glacierkeep_s3_A	glacierkeep	3	A	337	0	5	0	3	1.25	4	5	16	11	12	1	1	1	14	2	2	16	6	14	9	5	5	3	0	0	5	0	0	8	0	390	34	0	1200	0	2560	1	0	3	2	1	11	1	1	0	9	2	1	11	1	1	0	10	2	1	11	1	1	0	1	6	1	11	1	16	16	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	4	1	1	0	5	1	1	0	3	4	4	0	0	24	24	4	0	2.843	5	5	492	0.6646	0.002	6	10	11	2	2	0.4	1	23	6	0.261	3	7	7	0	6	7	7	0	35	4	5	5	2	14	9	13	15	0	builder_attack	theirs	23	2	2	2	12	11	308	0.914	0.953	541	2	13	324	0.961	6	2	252	0	1	0	0	262	262	1	0	0	0	1	1	1	1.0	262	0	162	11	10	0	6	37	21	0	324	-1	500	500	0	337	Core destroyed
nomouth_glacierkeep_s3_A	glacierkeep	3	A	161	1	5	0	3	1.25	4	5	13	11	35	2	2	2	16	2	2	14	10	19	6	5	4	4	0	0	14	90	0	14	110	0	12	110	0	110	0	1	0	0	0	5	11	0	1	1	18	6	1	11	2	1	0	8	6	1	11	2	1	0	7	6	1	11	2	40	44	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	8	5	5	0	1	5	5	0	1	5	5	0	1	38	38	5	0	3.497	5	5	489	0.4294	0.0041	6	10	11	2	2	0.4	0	23	6	0.261	3	7	7	0	6	7	7	0	34	3	5	4	3	14	9	14	19	1	gunner	ours	9	14	2	2	12	11	149	0.925	0.932	250	2	13	148	0.919	12	2	57	0	1	0	0	-1	-1	1	0	0	1	0	1	1	1.0	67	0	0	23	10	28	0	0	-1	500	500	60	0	50	1	161	Core destroyed
cap6_glacierkeep_s3_A	glacierkeep	3	A	689	0	13	0	3	1.25	4	5	13	11	35	1	1	8	16	3	3	14	9	10	16	23	24	22	0	0	51	80	120	1	80	390	71	480	1440	2450	7410	1	0	0	2	2	11	0	1	0	1	4	1	11	1	3	0	1	4	1	11	1	4	1	11	6	1	11	2	29	31	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	6	3	3	0	4	3	3	0	4	5	5	0	1	25	25	6	0	4.131	13	14	2281	0.4336	0.1048	6	10	11	10	10	0.769	0	23	6	0.261	3	6	17	4	6	7	17	0	89	2	5	4	7	18	9	12	15	0	builder_attack	theirs	23	2	2	2	12	11	227	0.329	0.479	273	2	13	676	0.981	9	10	21	2	7	0	0	409	74	9	5	0	0	9	5	3	0.333	409	0	55	132	27	15	89	77	542	0	500	-1	500	500	0	689	Core destroyed
parent_glacierkeep_s3_B	glacierkeep	3	B	353	1	5	0	3	1.25	4	5	16	11	12	2	2	4	16	2	2	17	13	21	6	10	3	3	0	0	5	0	0	26	170	0	22	180	0	880	0	1	0	0	0	3	13	0	1	0	0	5	2	13	0	1	1	12	4	1	13	1	1	0	1	4	1	13	1	32	64	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	8	5	5	0	2	3	3	0	3	3	3	0	3	40	40	6	0	2.975	5	5	977	0.6827	0.001	6	10	11	2	2	0.4	0	23	6	0.261	3	7	8	17	6	8	8	0	35	2	5	4	4	25	9	15	15	1	sentinel	theirs	25	1	2	2	12	11	277	0.785	0.969	323	2	13	340	0.963	13	2	106	1	1	0	0	116	116	2	0	0	1	1	2	1	0.5	147	0	29	20	40	58	59	0	-1	500	500	98	0	280	1	353	Core destroyed
flagoff_glacierkeep_s3_B	glacierkeep	3	B	521	1	5	0	3	1.25	4	5	16	11	12	2	2	4	14	3	3	17	11	20	11	5	2	4	0	0	0	0	0	14	0	0	14	0	0	0	0	2	0	0	1	5	11	0	1	0	0	7	2	13	0	1	0	0	8	2	13	0	1	0	0	8	2	13	0	44	-1	2	0	477	0	0.0	20	0.042	4.0	20	477	0.042	8	1	1	0	7	7	7	0	1	8	8	0	0	8	8	0	0	28	28	8	0	7.309	5	5	1757	0.5561	0.0091	6	10	11	2	2	0.4	0	23	6	0.261	3	6	8	0	6	8	8	0	35	4	5	4	3	57	9	14	16	1	sentinel	theirs	25	1	2	2	12	11	364	0.699	0.914	395	2	13	508	0.975	11	2	99	0	1	0	0	-1	-1	1	0	0	1	0	1	1	1.0	109	0	93	11	0	58	0	0	-1	500	500	98	0	284	1	521	Core destroyed
v531fix_glacierkeep_s3_B	glacierkeep	3	B	281	1	5	0	3	1.25	4	5	19	13	26	1	1	2	12	3	3	15	13	21	7	6	1	2	0	0	4	0	0	14	0	0	16	80	0	80	0	1	0	8	1	1	13	1	1	0	10	4	1	13	1	1	0	1	4	1	13	1	1	0	1	4	1	13	1	15	15	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	6	2	2	0	4	2	2	0	4	2	2	0	4	28	28	2	0	1.786	5	6	1101	0.713	0.0	6	10	11	2	2	0.4	0	23	6	0.261	3	7	8	16	6	8	8	0	35	2	5	4	4	23	9	15	15	1	sentinel	theirs	25	1	2	2	12	11	212	0.754	0.797	323	2	13	268	0.954	12	2	211	2	0	0	0	235	221	2	0	0	0	2	2	1	0.5	235	0	28	0	36	39	0	0	-1	500	500	94	0	448	1	281	Core destroyed
nomouth_glacierkeep_s3_B	glacierkeep	3	B	151	1	5	0	3	1.25	4	5	16	11	12	1	1	1	12	3	3	17	7	10	7	6	1	0	0	0	71	80	0	14	180	0	12	310	0	310	0	1	0	0	1	4	11	0	1	1	10	3	1	11	1	1	1	10	3	1	11	1	1	1	10	3	1	11	1	44	48	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	1	6	1	1	1	3	2	2	1	3	2	2	1	3	28	28	2	1	1.364	5	6	538	0.5762	0.0	6	10	11	2	2	0.4	0	23	6	0.261	3	7	8	0	6	8	8	0	35	4	5	5	3	15	9	15	15	1	sentinel	theirs	25	1	2	2	12	11	86	0.57	0.589	146	2	13	138	0.914	12	2	78	2	0	0	0	100	88	2	1	0	0	2	2	1	0.5	100	0	14	0	6	40	12	0	-1	500	500	67	0	0	1	151	Core destroyed
cap6_glacierkeep_s3_B	glacierkeep	3	B	329	1	5	0	3	1.25	4	5	16	11	12	1	1	1	13	3	3	17	8	10	8	6	2	39	0	0	48	10	0	14	10	0	14	10	200	10	200	0	0	0	1	3	-1	0	0	0	10	4	1	-1	1	0	0	10	4	1	-1	1	0	0	9	4	1	-1	1	32	34	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	7	3	3	0	3	3	3	0	3	3	3	0	3	28	28	3	0	2.684	5	5	1291	0.7343	0.0	6	10	11	2	2	0.4	0	23	6	0.261	3	7	8	0	6	8	8	0	35	4	5	4	3	49	9	15	16	1	sentinel	theirs	25	1	2	2	12	11	307	0.933	0.964	463	2	13	316	0.96	12	2	79	0	1	0	0	-1	-1	1	0	0	1	0	1	1	1.0	89	0	75	14	0	39	0	10	-1	500	500	77	0	466	1	329	Core destroyed
parent_glacierkeep_s4_A	glacierkeep	4	A	124	1	5	0	3	1.25	4	5	13	11	35	2	2	2	15	3	3	14	12	20	10	6	2	4	0	0	52	100	0	16	200	0	26	260	0	260	0	1	0	0	1	4	11	0	1	1	20	6	1	11	2	1	1	11	7	1	11	2	0	0	0	0	-1	-1	0	36	40	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	7	6	6	0	0	6	6	0	0	-1	-1	-1	-1	28	28	6	0	3.903	5	5	443	0.4831	0.0045	6	10	11	2	2	0.4	0	23	6	0.261	3	7	7	0	6	7	7	0	34	2	5	4	3	14	9	14	18	1	gunner	ours	11	12	2	2	12	11	112	0.903	0.911	170	2	13	111	0.895	12	2	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	0	10	11	28	2	0	-1	500	500	69	0	0	1	124	Core destroyed
flagoff_glacierkeep_s4_A	glacierkeep	4	A	112	1	5	0	3	1.25	4	5	13	11	35	1	1	1	16	3	3	14	9	10	18	6	1	34	0	0	14	90	0	14	190	0	24	220	0	220	0	1	0	0	2	2	11	0	1	1	10	5	1	11	1	1	1	10	5	1	11	1	0	0	0	0	-1	-1	0	29	31	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	6	5	5	0	2	5	5	0	2	-1	-1	-1	-1	25	25	5	0	3.455	5	5	432	0.4838	0.0046	6	10	11	2	2	0.4	0	23	6	0.261	3	6	7	0	6	7	7	0	35	3	5	4	3	14	9	14	36	0	sentinel	ours	2	26	2	2	12	11	100	0.893	0.902	185	2	13	99	0.884	12	2	-1	0	0	0	0	-1	-1	0	1	0	0	0	0	0	-1	-1	0	0	0	0	31	0	0	-1	500	500	56	0	0	1	112	Core destroyed
v531fix_glacierkeep_s4_A	glacierkeep	4	A	1000	1	5	0	3	1.25	4	5	17	11	12	1	1	3	14	3	3	16	15	20	10	7	2	3	0	0	17	10	0	42	10	0	16	10	0	10	0	0	0	8	1	1	-1	1	0	0	20	5	1	-1	2	0	0	11	6	1	-1	2	0	0	2	8	1	-1	2	16	16	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	6	5	5	0	1	5	5	0	1	6	6	0	0	28	28	6	0	5.664	5	5	3016	0.9353	0.002	6	10	11	2	2	0.4	0	23	6	0.261	3	5	7	0	6	7	7	0	35	2	5	4	3	14	9	13	19	1	gunner	ours	11	12	2	2	12	11	988	0.988	0.989	1971	2	13	987	0.987	12	2	53	0	1	0	0	-1	-1	1	0	0	1	0	1	1	1.0	63	0	0	14	22	0	527	0	-1	500	500	-1	500	500	1	1000	Titanium collected (tiebreak)
nomouth_glacierkeep_s4_A	glacierkeep	4	A	164	1	5	0	3	1.25	4	5	13	11	35	2	2	2	15	3	3	14	11	20	10	7	3	2	0	0	0	90	0	60	190	220	26	350	220	350	220	2	0	0	0	4	11	0	2	1	10	4	1	11	1	2	1	10	3	1	11	1	2	1	10	5	1	11	1	36	40	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	8	3	3	0	4	3	3	0	4	4	4	0	2	32	32	4	0	2.585	5	5	617	0.4182	0.0032	6	10	11	2	2	0.4	0	23	6	0.261	3	7	7	5	6	7	7	0	34	2	5	4	4	18	9	17	15	0	builder_attack	theirs	23	2	2	2	12	11	132	0.805	0.933	219	2	13	151	0.921	12	2	151	0	1	0	0	161	161	1	1	0	0	1	1	1	1.0	161	0	8	23	5	28	6	30	-1	500	500	109	0	122	1	164	Core destroyed
cap6_glacierkeep_s4_A	glacierkeep	4	A	111	1	5	0	3	1.25	4	5	14	11	35	1	1	1	13	3	3	15	9	10	10	6	2	40	0	0	14	90	0	12	190	0	12	210	0	210	0	1	0	0	0	2	11	0	1	1	10	2	1	11	1	1	1	10	2	1	11	1	0	0	0	0	-1	-1	0	30	32	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	8	1	1	0	5	1	1	0	5	-1	-1	-1	-1	32	32	2	0	0.874	5	5	398	0.4271	0.005	6	10	11	2	2	0.4	1	23	6	0.261	3	6	7	0	6	7	7	0	34	3	5	4	3	13	9	13	22	1	sentinel	theirs	24	3	2	2	12	11	72	0.649	0.658	111	2	13	98	0.883	10	2	42	2	0	0	0	84	52	2	0	0	0	2	1	2	1.0	84	0	6	0	0	28	5	0	-1	500	500	56	0	0	1	111	Core destroyed
parent_glacierkeep_s4_B	glacierkeep	4	B	369	1	5	0	3	1.25	4	5	16	11	12	1	1	1	15	3	3	17	8	10	8	7	2	39	0	0	24	80	0	26	180	0	16	380	0	380	0	1	0	0	1	3	11	0	1	1	10	5	1	11	1	1	1	10	3	1	11	1	1	1	10	6	1	11	1	32	34	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	7	5	5	0	2	3	3	0	4	6	6	0	1	28	28	6	0	3.149	5	5	975	0.8256	0.0	6	10	11	2	2	0.4	0	23	6	0.261	3	7	8	0	6	8	8	0	35	3	5	4	3	40	9	14	15	1	sentinel	theirs	25	1	2	2	12	11	357	0.967	0.97	671	2	13	356	0.965	12	2	-1	0	0	0	0	-1	-1	0	1	0	0	0	0	0	-1	-1	0	54	14	2	67	27	0	-1	500	500	184	0	500	1	369	Core destroyed
flagoff_glacierkeep_s4_B	glacierkeep	4	B	446	1	6	0	3	1.25	4	5	17	13	26	2	2	6	13	2	2	18	9	19	9	10	2	3	0	0	10	0	0	110	0	0	12	0	0	570	0	2	0	0	1	6	11	0	2	0	0	7	2	11	0	2	0	0	8	2	11	0	3	0	4	7	1	11	1	45	132	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	6	7	7	0	1	8	8	0	0	7	7	0	0	28	28	8	0	5.895	6	5	1414	0.5035	0.005	6	10	11	3	3	0.5	0	23	6	0.261	3	6	10	0	6	8	10	0	48	2	5	4	4	17	9	9	15	1	sentinel	theirs	25	1	2	2	12	11	231	0.518	0.525	294	2	13	433	0.971	8	3	115	2	0	0	0	137	125	2	1	0	0	2	1	2	1.0	137	0	27	0	10	36	27	16	19	374	442	375	0	500	1	446	Core destroyed
v531fix_glacierkeep_s4_B	glacierkeep	4	B	317	1	5	0	3	1.25	4	5	19	13	26	1	1	1	14	3	3	15	14	21	18	6	1	2	0	0	11	0	0	17	0	0	14	0	0	0	0	1	0	8	0	1	13	1	1	0	10	5	1	13	1	1	0	10	5	1	13	1	1	0	1	4	1	13	1	15	15	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	7	4	4	0	2	4	4	0	2	3	3	0	4	32	32	4	0	2.962	5	5	1194	0.6013	0.0017	6	10	11	2	2	0.4	0	23	6	0.261	3	6	8	0	6	8	8	0	35	2	5	4	3	41	9	17	15	1	sentinel	theirs	25	1	2	2	12	11	248	0.782	0.965	305	2	13	304	0.959	11	2	78	1	0	0	0	88	88	1	1	0	0	1	1	1	1.0	88	0	63	0	11	33	0	0	-1	500	500	148	0	482	1	317	Core destroyed
nomouth_glacierkeep_s4_B	glacierkeep	4	B	943	1	6	0	3	1.25	4	5	16	11	12	1	1	8	12	2	2	17	8	10	14	17	2	39	0	0	65	70	0	6	70	0	54	70	0	1390	0	1	0	0	0	3	11	0	1	0	0	4	2	11	0	2	0	0	3	2	11	0	2	0	0	3	2	11	0	32	34	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	8	2	2	0	4	2	2	0	5	2	2	0	5	32	32	5	0	2.701	6	6	2628	0.4209	0.0327	6	10	11	3	3	0.5	0	23	6	0.261	3	7	9	2	6	8	9	0	41	4	5	4	3	38	9	14	15	1	sentinel	theirs	25	1	2	2	12	11	186	0.197	0.209	216	2	13	930	0.986	11	3	66	2	0	0	0	136	76	2	3	0	0	2	1	2	1.0	136	0	54	0	20	71	20	0	-1	500	500	888	0	500	1	943	Core destroyed
cap6_glacierkeep_s4_B	glacierkeep	4	B	385	1	5	0	3	1.25	4	5	16	11	12	1	1	1	13	2	2	17	8	9	10	7	2	11	0	0	22	0	0	27	0	0	80	0	0	0	0	1	0	0	0	3	11	0	1	0	0	7	2	11	0	1	0	0	4	2	11	0	1	0	0	4	2	11	0	32	-1	2	0	353	0	0.0	353	1.0	2.0	353	353	1.0	8	0	0	0	7	6	6	0	1	4	4	0	4	4	4	0	4	32	32	6	0	3.699	5	5	1554	0.8346	0.0	6	10	11	2	2	0.4	0	23	6	0.261	3	7	8	0	6	8	8	0	35	3	5	4	3	54	9	18	15	1	sentinel	theirs	25	1	2	2	12	11	373	0.969	0.971	732	2	13	372	0.966	12	2	-1	0	0	0	0	-1	-1	0	1	0	0	0	0	0	-1	-1	0	85	0	0	31	16	0	19	464	500	209	0	500	1	385	Core destroyed
parent_nordkap_s3_A	nordkap	3	A	141	0	5	0	3	0.0	2	5	10	4	15	2	2	3	7	4	7	11	4	4	11	5	7	12	0	70	2	0	380	4	0	1140	12	0	2040	0	2040	2	0	0	1	2	4	0	2	0	0	7	2	4	0	3	0	0	7	2	4	0	0	0	0	0	-1	-1	0	11	-1	2	0	130	130	0.0	44	0.338	2.27	44	130	0.338	8	1	1	1	6	7	7	1	0	7	7	1	0	-1	-1	-1	-1	11	11	7	1	5.071	5	5	457	0.547	0.0	6	6	6	2	2	0.4	2	11	3	0.273	1	1	3	0	6	3	3	0	14	3	5	3	1	13	7	13	11	1	sentinel	theirs	13	1	2	2	8	6	84	0.596	0.61	136	2	9	132	0.936	6	2	72	1	1	0	0	92	78	2	1	0	0	2	2	1	0.5	92	0	40	29	0	9	2	7	96	0	0	-1	500	500	0	141	Core destroyed
flagoff_nordkap_s3_A	nordkap	3	A	178	1	5	0	3	0.0	2	5	10	4	15	2	2	2	5	2	2	11	5	5	5	6	2	38	40	50	39	120	50	36	210	50	8	400	50	400	50	2	1	3	3	1	4	1	2	1	3	8	1	4	1	2	1	4	5	1	4	2	2	1	4	5	1	4	2	11	14	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	2	7	7	0	0	5	5	0	1	5	5	0	1	14	14	7	0	4.522	5	6	467	0.6103	0.0	6	6	6	3	3	0.6	2	11	3	0.273	1	1	3	6	6	3	3	0	15	2	5	3	3	16	7	10	10	1	sentinel	ours	0	12	2	2	8	6	170	0.955	0.966	334	2	9	169	0.949	10	3	-1	0	0	0	0	-1	-1	0	3	0	0	0	0	0	-1	-1	0	15	30	16	48	0	10	10	454	500	120	0	212	1	178	Core destroyed
v531fix_nordkap_s3_A	nordkap	3	A	218	1	5	0	3	0.0	2	5	9	4	16	1	1	3	8	3	5	3	9	13	10	4	1	0	50	80	25	130	310	26	280	460	34	760	460	900	460	1	1	7	3	1	4	2	1	1	4	3	1	4	2	1	1	7	3	1	4	3	1	1	7	3	1	4	3	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	2	2	0	3	2	2	0	3	2	2	0	3	12	12	4	0	2.0	5	5	739	0.6604	0.0	6	6	6	3	2	0.6	1	11	3	0.273	1	1	3	0	6	3	3	0	16	3	5	3	2	33	7	32	11	1	sentinel	theirs	13	1	2	2	8	6	209	0.959	0.972	298	2	9	209	0.959	11	3	109	1	0	0	0	116	116	1	1	0	0	1	1	1	1.0	116	0	47	0	10	76	0	20	-1	500	500	91	0	76	1	218	Core destroyed
nomouth_nordkap_s3_A	nordkap	3	A	1000	0	5	0	3	0.0	2	5	4	4	16	1	1	5	5	2	4	5	3	3	6	5	12	25	60	60	33	70	110	16	70	110	48	70	110	70	110	1	1	3	7	1	4	1	1	0	1	7	1	4	1	1	0	1	7	1	4	1	1	0	1	7	1	4	1	5	8	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	6	6	0	0	6	6	0	0	6	6	0	0	6	6	0	0	14	14	6	0	5.882	5	6	2163	0.9149	0.0	6	6	6	2	2	0.4	1	11	3	0.273	1	1	3	302	6	3	3	0	16	2	5	4	3	13	7	13	10	1	sentinel	ours	0	12	2	2	8	6	189	0.189	0.194	291	2	9	991	0.991	11	2	157	0	2	0	0	200	163	2	2	0	0	2	2	1	0.5	200	0	31	18	10	76	0	20	10	456	500	81	32	176	0	1000	Titanium collected (tiebreak)
cap6_nordkap_s3_A	nordkap	3	A	663	1	11	0	3	0.0	2	5	9	4	16	1	1	14	7	2	3	3	6	8	6	24	4	29	50	50	16	110	70	14	110	70	14	110	70	4810	70	1	1	6	2	1	4	2	1	0	4	6	1	4	2	1	0	2	8	1	4	2	1	0	2	8	1	4	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	5	5	0	1	6	6	0	0	6	6	0	0	24	24	6	0	5.101	11	5	2698	0.5274	0.0019	6	6	6	10	10	0.909	1	11	3	0.273	1	1	10	0	6	3	10	0	47	1	5	3	9	54	7	13	13	1	sentinel	ours	0	12	2	2	8	6	521	0.786	0.866	812	5	9	654	0.986	11	10	86	1	3	0	0	418	205	4	3	0	0	4	3	2	0.5	418	0	7	109	50	187	27	10	13	472	500	53	0	284	1	663	Core destroyed
parent_nordkap_s3_B	nordkap	3	B	913	1	6	0	3	1.5	4	5	6	4	15	1	1	7	7	2	3	7	3	3	5	12	10	12	50	50	12	80	120	12	80	220	5	80	460	1630	2240	1	1	3	5	1	4	1	1	0	1	7	1	4	1	1	0	1	8	1	4	1	1	0	1	8	1	4	1	7	9	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	4	4	0	3	6	6	0	1	7	7	0	0	7	7	0	0	18	18	7	0	6.406	6	8	2669	0.4845	0.0015	6	6	6	6	5	1.0	0	11	3	0.273	1	1	24	142	6	4	7	17	-50	2	5	4	5	102	7	10	10	1	sentinel	ours	0	11	2	3	8	6	573	0.628	0.666	1103	2	9	904	0.99	9	6	535	0	2	0	0	572	565	2	4	0	0	2	2	1	0.5	572	0	16	427	10	65	220	8	10	416	500	820	0	500	1	913	Core destroyed
flagoff_nordkap_s3_B	nordkap	3	B	305	0	6	0	3	1.5	4	5	6	4	15	1	1	7	8	2	2	7	3	3	6	6	10	7	50	60	15	130	130	29	270	270	24	340	700	340	1910	1	1	3	3	1	4	1	1	1	3	7	1	4	1	3	3	10	8	1	4	1	4	0	1	8	1	4	1	7	9	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	4	7	7	0	0	7	7	0	0	7	7	0	0	10	10	7	0	6.282	6	7	673	0.6374	0.0	6	6	6	6	3	1.0	2	11	3	0.273	1	1	5	0	6	4	5	0	26	5	5	4	3	35	7	17	10	0	gunner	theirs	7	4	2	2	8	6	162	0.531	0.541	180	2	9	296	0.97	7	6	31	2	1	0	0	170	38	3	4	1	0	2	2	2	0.667	148	0	95	39	34	0	49	15	12	0	500	-1	500	500	0	305	Core destroyed
v531fix_nordkap_s3_B	nordkap	3	B	282	0	5	0	3	1.5	4	5	6	4	15	1	1	3	8	5	8	7	6	6	15	7	8	12	50	140	46	130	490	65	230	850	36	480	1600	680	2210	1	1	6	3	1	4	2	1	1	6	2	1	4	2	2	1	6	2	1	4	2	1	1	6	4	1	4	2	7	8	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	2	2	0	4	2	2	0	4	4	4	0	2	9	9	4	0	2.922	5	6	523	0.5029	0.0	6	6	6	4	2	0.8	2	11	3	0.273	1	1	3	20	6	3	3	0	15	2	5	4	5	25	7	17	10	0	gunner	theirs	8	3	2	2	8	6	101	0.358	0.387	168	2	9	273	0.968	10	4	84	3	0	0	0	115	91	3	2	1	0	2	3	1	0.333	104	0	80	86	10	53	2	38	159	0	500	107	260	296	0	282	Core destroyed
