file	match	game	us_side	our_won	ourver	oppver	completedAt	game_winner_side
7d2234bf-e507-4f07-9281-c29e8a5e83d8_game_2.replay26	7d2234bf-e507-4f07-9281-c29e8a5e83d8	2	a	0	80	44	2026-08-09T01:08:59.765Z	b
7d2234bf-e507-4f07-9281-c29e8a5e83d8_game_3.replay26	7d2234bf-e507-4f07-9281-c29e8a5e83d8	3	a	0	80	44	2026-08-09T01:08:59.765Z	b
7d2234bf-e507-4f07-9281-c29e8a5e83d8_game_4.replay26	7d2234bf-e507-4f07-9281-c29e8a5e83d8	4	a	0	80	44	2026-08-09T01:08:59.765Z	b
7d2234bf-e507-4f07-9281-c29e8a5e83d8_game_5.replay26	7d2234bf-e507-4f07-9281-c29e8a5e83d8	5	a	0	80	44	2026-08-09T01:08:59.765Z	b
a1f4f5d0-443f-490c-a805-784611a0c61f_game_1.replay26	a1f4f5d0-443f-490c-a805-784611a0c61f	1	b	1	80	44	2026-08-09T03:07:32.782Z	b
a1f4f5d0-443f-490c-a805-784611a0c61f_game_2.replay26	a1f4f5d0-443f-490c-a805-784611a0c61f	2	b	0	80	44	2026-08-09T03:07:32.782Z	a
a1f4f5d0-443f-490c-a805-784611a0c61f_game_3.replay26	a1f4f5d0-443f-490c-a805-784611a0c61f	3	b	0	80	44	2026-08-09T03:07:32.782Z	a
a1f4f5d0-443f-490c-a805-784611a0c61f_game_4.replay26	a1f4f5d0-443f-490c-a805-784611a0c61f	4	b	0	80	44	2026-08-09T03:07:32.782Z	a
a1f4f5d0-443f-490c-a805-784611a0c61f_game_5.replay26	a1f4f5d0-443f-490c-a805-784611a0c61f	5	b	0	80	44	2026-08-09T03:07:32.782Z	a
f11aa340-348c-40c0-9e81-52050b4e44b1_game_1.replay26	f11aa340-348c-40c0-9e81-52050b4e44b1	1	a	0	89	50	2026-08-09T04:25:29.791Z	b
f11aa340-348c-40c0-9e81-52050b4e44b1_game_2.replay26	f11aa340-348c-40c0-9e81-52050b4e44b1	2	a	0	89	50	2026-08-09T04:25:29.791Z	b
f11aa340-348c-40c0-9e81-52050b4e44b1_game_3.replay26	f11aa340-348c-40c0-9e81-52050b4e44b1	3	a	1	89	50	2026-08-09T04:25:29.791Z	a
f11aa340-348c-40c0-9e81-52050b4e44b1_game_4.replay26	f11aa340-348c-40c0-9e81-52050b4e44b1	4	a	0	89	50	2026-08-09T04:25:29.791Z	b
f11aa340-348c-40c0-9e81-52050b4e44b1_game_5.replay26	f11aa340-348c-40c0-9e81-52050b4e44b1	5	a	1	89	50	2026-08-09T04:25:29.791Z	a
573f0040-13c4-452c-8cd2-87cf5435435b_game_1.replay26	573f0040-13c4-452c-8cd2-87cf5435435b	1	a	0	90	44	2026-08-09T08:06:00.698Z	b
573f0040-13c4-452c-8cd2-87cf5435435b_game_2.replay26	573f0040-13c4-452c-8cd2-87cf5435435b	2	a	0	90	44	2026-08-09T08:06:00.698Z	b
573f0040-13c4-452c-8cd2-87cf5435435b_game_3.replay26	573f0040-13c4-452c-8cd2-87cf5435435b	3	a	0	90	44	2026-08-09T08:06:00.698Z	b
573f0040-13c4-452c-8cd2-87cf5435435b_game_4.replay26	573f0040-13c4-452c-8cd2-87cf5435435b	4	a	0	90	44	2026-08-09T08:06:00.698Z	b
573f0040-13c4-452c-8cd2-87cf5435435b_game_5.replay26	573f0040-13c4-452c-8cd2-87cf5435435b	5	a	0	90	44	2026-08-09T08:06:00.698Z	b
e59372e7-038d-46d9-89ce-ea294dcaa9cd_game_1.replay26	e59372e7-038d-46d9-89ce-ea294dcaa9cd	1	b	1	91	44	2026-08-09T09:26:04.803Z	b
e59372e7-038d-46d9-89ce-ea294dcaa9cd_game_2.replay26	e59372e7-038d-46d9-89ce-ea294dcaa9cd	2	b	1	91	44	2026-08-09T09:26:04.803Z	b
e59372e7-038d-46d9-89ce-ea294dcaa9cd_game_3.replay26	e59372e7-038d-46d9-89ce-ea294dcaa9cd	3	b	1	91	44	2026-08-09T09:26:04.803Z	b
e59372e7-038d-46d9-89ce-ea294dcaa9cd_game_4.replay26	e59372e7-038d-46d9-89ce-ea294dcaa9cd	4	b	0	91	44	2026-08-09T09:26:04.803Z	a
e59372e7-038d-46d9-89ce-ea294dcaa9cd_game_5.replay26	e59372e7-038d-46d9-89ce-ea294dcaa9cd	5	b	1	91	44	2026-08-09T09:26:04.803Z	b
36744268-6d65-4beb-bc3d-156ea4cbfb3c_game_1.replay26	36744268-6d65-4beb-bc3d-156ea4cbfb3c	1	b	1	91	51	2026-08-09T10:35:49.343Z	b
36744268-6d65-4beb-bc3d-156ea4cbfb3c_game_2.replay26	36744268-6d65-4beb-bc3d-156ea4cbfb3c	2	b	1	91	51	2026-08-09T10:35:49.343Z	b
36744268-6d65-4beb-bc3d-156ea4cbfb3c_game_3.replay26	36744268-6d65-4beb-bc3d-156ea4cbfb3c	3	b	1	91	51	2026-08-09T10:35:49.343Z	b
36744268-6d65-4beb-bc3d-156ea4cbfb3c_game_4.replay26	36744268-6d65-4beb-bc3d-156ea4cbfb3c	4	b	1	91	51	2026-08-09T10:35:49.343Z	b
36744268-6d65-4beb-bc3d-156ea4cbfb3c_game_5.replay26	36744268-6d65-4beb-bc3d-156ea4cbfb3c	5	b	0	91	51	2026-08-09T10:35:49.343Z	a
d5f709c0-1e16-4761-856f-8a455d98ce71_game_1.replay26	d5f709c0-1e16-4761-856f-8a455d98ce71	1	b	0	91	44	2026-08-09T10:46:28.902Z	a
d5f709c0-1e16-4761-856f-8a455d98ce71_game_2.replay26	d5f709c0-1e16-4761-856f-8a455d98ce71	2	b	0	91	44	2026-08-09T10:46:28.902Z	a
d5f709c0-1e16-4761-856f-8a455d98ce71_game_3.replay26	d5f709c0-1e16-4761-856f-8a455d98ce71	3	b	0	91	44	2026-08-09T10:46:28.902Z	a
d5f709c0-1e16-4761-856f-8a455d98ce71_game_4.replay26	d5f709c0-1e16-4761-856f-8a455d98ce71	4	b	0	91	44	2026-08-09T10:46:28.902Z	a
d5f709c0-1e16-4761-856f-8a455d98ce71_game_5.replay26	d5f709c0-1e16-4761-856f-8a455d98ce71	5	b	0	91	44	2026-08-09T10:46:28.902Z	a
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_1.replay26	e7b913eb-1ac8-45ad-9120-3030b4cb4829	1	a	0	92	44	2026-08-09T11:11:14.734Z	b
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_2.replay26	e7b913eb-1ac8-45ad-9120-3030b4cb4829	2	a	0	92	44	2026-08-09T11:11:14.734Z	b
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_3.replay26	e7b913eb-1ac8-45ad-9120-3030b4cb4829	3	a	0	92	44	2026-08-09T11:11:14.734Z	b
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_4.replay26	e7b913eb-1ac8-45ad-9120-3030b4cb4829	4	a	1	92	44	2026-08-09T11:11:14.734Z	a
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_5.replay26	e7b913eb-1ac8-45ad-9120-3030b4cb4829	5	a	1	92	44	2026-08-09T11:11:14.734Z	a
86ee6317-8690-45c1-b193-a28059a06b7a_game_1.replay26	86ee6317-8690-45c1-b193-a28059a06b7a	1	b	0	92	53	2026-08-09T11:28:06.840Z	a
86ee6317-8690-45c1-b193-a28059a06b7a_game_2.replay26	86ee6317-8690-45c1-b193-a28059a06b7a	2	b	1	92	53	2026-08-09T11:28:06.840Z	b
86ee6317-8690-45c1-b193-a28059a06b7a_game_3.replay26	86ee6317-8690-45c1-b193-a28059a06b7a	3	b	1	92	53	2026-08-09T11:28:06.840Z	b
86ee6317-8690-45c1-b193-a28059a06b7a_game_4.replay26	86ee6317-8690-45c1-b193-a28059a06b7a	4	b	1	92	53	2026-08-09T11:28:06.840Z	b
86ee6317-8690-45c1-b193-a28059a06b7a_game_5.replay26	86ee6317-8690-45c1-b193-a28059a06b7a	5	b	1	92	53	2026-08-09T11:28:06.840Z	b
d6c71870-17d3-4ee7-995f-b400bfc57c7d_game_1.replay26	d6c71870-17d3-4ee7-995f-b400bfc57c7d	1	b	0	92	44	2026-08-09T13:20:41.765Z	a
d6c71870-17d3-4ee7-995f-b400bfc57c7d_game_2.replay26	d6c71870-17d3-4ee7-995f-b400bfc57c7d	2	b	1	92	44	2026-08-09T13:20:41.765Z	b
af3775ea-829f-41de-8255-9431178316ab_game_1.replay26	af3775ea-829f-41de-8255-9431178316ab	1	a	0	92	57	2026-08-09T13:25:29.254Z	b
af3775ea-829f-41de-8255-9431178316ab_game_2.replay26	af3775ea-829f-41de-8255-9431178316ab	2	a	0	92	57	2026-08-09T13:25:29.254Z	b
af3775ea-829f-41de-8255-9431178316ab_game_3.replay26	af3775ea-829f-41de-8255-9431178316ab	3	a	0	92	57	2026-08-09T13:25:29.254Z	b
af3775ea-829f-41de-8255-9431178316ab_game_4.replay26	af3775ea-829f-41de-8255-9431178316ab	4	a	1	92	57	2026-08-09T13:25:29.254Z	a
