game	map	round	frm	to	cls	throw_dsq_from_core
v513_log-nordkap-s1-B	nordkap	370	10,10	16,9	OFF_RING	9
v513_log-nordkap-s1-B	nordkap	374	12,9	6,8	OFF_RING	8
v513_log-nordkap-s1-B	nordkap	410	12,10	6,8	OFF_RING	13
v513_log-nordkap-s2-B	nordkap	77	7,10	13,8	OFF_RING	10
v513_log-nordkap-s2-B	nordkap	152	7,10	13,8	OFF_RING	10
v513_log-nordkap-s2-B	nordkap	201	8,4	2,4	OFF_RING	2
v513_log-nordkap-s2-B	nordkap	203	8,4	2,4	OFF_RING	2
v513_log-nordkap-s2-B	nordkap	208	7,4	2,4	OFF_RING	2
v513_log-nordkap-s2-B	nordkap	217	7,4	2,4	OFF_RING	2
v513_log-nordkap-s2-B	nordkap	223	8,4	2,4	OFF_RING	2
v513_log-nordkap-s2-B	nordkap	224	7,4	2,4	OFF_RING	2
v513_log-nordkap-s2-B	nordkap	230	7,4	2,4	OFF_RING	2
v513_log-nordkap-s2-B	nordkap	233	7,4	2,4	OFF_RING	2
v513_log-nordkap-s2-B	nordkap	237	7,4	2,4	OFF_RING	2
