game	map	tile	osr	notbuildable	b_noadj	b_adj_nofund	b_adj_fund	b_adj_fund_gateopen
v513_log-midgard-s3-A	midgard	26,25	265	252	13	0	0	0
v513_log-midgard-s3-A	midgard	27,25	265	265	0	0	0	0
v513_log-midgard-s3-A	midgard	28,26	265	1	264	0	0	0
v513_log-midgard-s3-A	midgard	28,27	30	1	28	0	1	1
v513_log-midgard-s3-A	midgard	27,28	234	177	53	1	3	2
v513_log-midgard-s3-A	midgard	26,28	248	83	163	0	2	1
v513_log-midgard-s3-A	midgard	25,27	265	265	0	0	0	0
v513_log-midgard-s3-A	midgard	25,26	2	0	1	0	1	1
v513_log-midgard-s3-B	midgard	2,1	23	0	23	0	0	0
v513_log-midgard-s3-B	midgard	3,1	0	0	0	0	0	0
v513_log-midgard-s3-B	midgard	4,2	23	23	0	0	0	0
v513_log-midgard-s3-B	midgard	4,3	0	0	0	0	0	0
v513_log-midgard-s3-B	midgard	3,4	23	23	0	0	0	0
v513_log-midgard-s3-B	midgard	2,4	23	23	0	0	0	0
v513_log-midgard-s3-B	midgard	1,3	23	0	23	0	0	0
v513_log-midgard-s3-B	midgard	1,2	23	0	23	0	0	0
v513_log-nordkap-s1-A	nordkap	9,17	35	0	30	0	5	3
v513_log-nordkap-s1-A	nordkap	10,17	94	45	47	0	2	2
v513_log-nordkap-s1-A	nordkap	11,18	118	115	2	0	1	1
v513_log-nordkap-s1-A	nordkap	11,19	96	81	14	0	1	0
v513_log-nordkap-s1-A	nordkap	10,20	80	0	79	0	1	1
v513_log-nordkap-s1-A	nordkap	9,20	103	53	49	0	1	0
v513_log-nordkap-s1-A	nordkap	8,19	83	0	81	0	2	1
v513_log-nordkap-s1-A	nordkap	8,18	17	0	16	0	1	0
v513_log-nordkap-s1-B	nordkap	9,5	6	0	5	0	1	0
v513_log-nordkap-s1-B	nordkap	10,5	1	0	0	0	1	1
v513_log-nordkap-s1-B	nordkap	11,6	2	0	0	0	2	2
v513_log-nordkap-s1-B	nordkap	11,7	64	41	22	0	1	1
v513_log-nordkap-s1-B	nordkap	10,8	48	41	7	0	0	0
