game	map	seat	tile	ring_rounds	D	d_body	E	b	o	empty	ever_denied	dominant	enemy_kinds	enemy_bldg_predates_arrival
v513_log-drakkarfjord-s3-A	drakkarfjord	A	27,3	204	181	0	0	0	0	23	1	D	-	0
v513_log-drakkarfjord-s3-A	drakkarfjord	A	28,4	204	178	0	0	0	0	26	1	D	-	0
v513_log-drakkarfjord-s3-A	drakkarfjord	A	28,5	204	174	0	0	0	0	30	1	D	-	0
v513_log-drakkarfjord-s3-A	drakkarfjord	A	27,6	204	171	0	0	0	0	33	1	D	-	0
v513_log-drakkarfjord-s3-A	drakkarfjord	A	26,6	204	127	0	58	0	0	19	1	D	conveyor:58	0
v513_log-drakkarfjord-s3-A	drakkarfjord	A	25,5	204	185	0	0	0	0	19	1	D	-	0
v513_log-drakkarfjord-s3-A	drakkarfjord	A	25,4	204	140	3	0	0	0	61	1	D	-	0
v513_log-drakkarfjord-s3-B	drakkarfjord	B	2,23	162	79	0	0	0	0	83	1	.	-	0
v513_log-drakkarfjord-s3-B	drakkarfjord	B	3,23	162	151	0	0	0	0	11	1	D	-	0
v513_log-drakkarfjord-s3-B	drakkarfjord	B	4,24	162	161	0	0	0	0	1	1	D	-	0
v513_log-drakkarfjord-s3-B	drakkarfjord	B	4,25	162	93	2	0	46	0	21	1	D	-	0
v513_log-drakkarfjord-s3-B	drakkarfjord	B	3,26	162	158	0	0	0	0	4	1	D	-	0
v513_log-drakkarfjord-s3-B	drakkarfjord	B	2,26	162	139	0	0	0	0	23	1	D	-	0
v513_log-drakkarfjord-s3-B	drakkarfjord	B	1,25	162	136	0	0	0	0	26	1	D	-	0
v513_log-drakkarfjord-s3-B	drakkarfjord	B	1,24	162	132	0	0	0	0	30	1	D	-	0
v513_log-glacierkeep-s1-A	glacierkeep	A	14,25	49	36	0	0	0	0	13	1	D	-	0
v513_log-glacierkeep-s1-A	glacierkeep	A	15,25	49	40	0	0	0	0	9	1	D	-	0
v513_log-glacierkeep-s1-A	glacierkeep	A	16,26	49	43	0	0	0	0	6	1	D	-	0
v513_log-glacierkeep-s1-A	glacierkeep	A	16,27	49	48	0	0	0	0	1	1	D	-	0
v513_log-glacierkeep-s1-A	glacierkeep	A	15,28	49	47	0	0	0	0	2	1	D	-	0
v513_log-glacierkeep-s1-A	glacierkeep	A	14,28	49	0	0	0	0	0	49	0	.	-	0
v513_log-glacierkeep-s1-A	glacierkeep	A	13,27	49	0	0	0	0	0	49	0	.	-	0
v513_log-glacierkeep-s1-A	glacierkeep	A	13,26	49	0	0	0	0	0	49	0	.	-	0
v513_log-glacierkeep-s1-B	glacierkeep	B	14,1	180	112	0	0	0	0	68	1	D	-	0
v513_log-glacierkeep-s1-B	glacierkeep	B	15,1	180	165	0	0	0	0	15	1	D	-	0
v513_log-glacierkeep-s1-B	glacierkeep	B	16,2	180	178	0	0	0	0	2	1	D	-	0
v513_log-glacierkeep-s1-B	glacierkeep	B	16,3	180	166	0	0	0	0	14	1	D	-	0
v513_log-glacierkeep-s1-B	glacierkeep	B	15,4	180	163	0	0	0	0	17	1	D	-	0
v513_log-glacierkeep-s1-B	glacierkeep	B	14,4	180	159	0	0	0	0	21	1	D	-	0
v513_log-glacierkeep-s1-B	glacierkeep	B	13,3	180	156	0	0	0	0	24	1	D	-	0
v513_log-glacierkeep-s1-B	glacierkeep	B	13,2	180	152	0	0	0	0	28	1	D	-	0
v513_log-glacierkeep-s2-A	glacierkeep	A	14,25	250	237	0	0	0	0	13	1	D	-	0
v513_log-glacierkeep-s2-A	glacierkeep	A	15,25	250	241	0	0	0	0	9	1	D	-	0
v513_log-glacierkeep-s2-A	glacierkeep	A	16,26	250	244	0	0	0	0	6	1	D	-	0
v513_log-glacierkeep-s2-A	glacierkeep	A	16,27	250	249	0	0	0	0	1	1	D	-	0
v513_log-glacierkeep-s2-A	glacierkeep	A	15,28	250	248	0	0	0	0	2	1	D	-	0
v513_log-glacierkeep-s2-A	glacierkeep	A	14,28	250	214	0	0	0	0	36	1	D	-	0
v513_log-glacierkeep-s2-A	glacierkeep	A	13,27	250	218	0	0	1	0	31	1	D	-	0
v513_log-glacierkeep-s2-A	glacierkeep	A	13,26	250	222	0	0	1	0	27	1	D	-	0
v513_log-glacierkeep-s2-B	glacierkeep	B	14,1	112	100	0	0	3	0	9	1	D	-	0
v513_log-glacierkeep-s2-B	glacierkeep	B	15,1	112	70	0	0	4	0	38	1	D	-	0
v513_log-glacierkeep-s2-B	glacierkeep	B	16,2	112	110	0	0	0	0	2	1	D	-	0
v513_log-glacierkeep-s2-B	glacierkeep	B	16,3	112	76	0	0	0	0	36	1	D	-	0
v513_log-glacierkeep-s2-B	glacierkeep	B	15,4	112	78	0	0	0	0	34	1	D	-	0
v513_log-glacierkeep-s2-B	glacierkeep	B	14,4	112	82	0	0	0	0	30	1	D	-	0
v513_log-glacierkeep-s2-B	glacierkeep	B	13,3	112	85	0	0	0	0	27	1	D	-	0
v513_log-glacierkeep-s2-B	glacierkeep	B	13,2	112	87	0	0	2	0	23	1	D	-	0
v513_log-glacierkeep-s3-A	glacierkeep	A	14,25	164	149	0	0	2	0	13	1	D	-	0
v513_log-glacierkeep-s3-A	glacierkeep	A	15,25	164	153	0	0	1	0	10	1	D	-	0
v513_log-glacierkeep-s3-A	glacierkeep	A	16,26	164	158	0	0	0	0	6	1	D	-	0
v513_log-glacierkeep-s3-A	glacierkeep	A	16,27	164	163	0	0	0	0	1	1	D	-	0
v513_log-glacierkeep-s3-A	glacierkeep	A	15,28	164	162	0	0	0	0	2	1	D	-	0
v513_log-glacierkeep-s3-A	glacierkeep	A	14,28	164	127	0	0	0	0	37	1	D	-	0
v513_log-glacierkeep-s3-A	glacierkeep	A	13,27	164	124	0	0	0	0	40	1	D	-	0
v513_log-glacierkeep-s3-A	glacierkeep	A	13,26	164	117	0	0	1	0	46	1	D	-	0
v513_log-glacierkeep-s3-B	glacierkeep	B	14,1	991	68	0	0	223	0	700	1	.	-	0
