r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
302	500	500	95	20	1370	29	24	170	4	2	0	6	2	2	0	0
303	500	500	121	20	1390	32	24	170	4	2	0	6	2	2	0	0
304	500	500	117	20	1390	31	24	170	4	2	0	6	2	2	0	0
305	500	500	123	20	1400	30	24	170	4	2	0	6	2	2	0	0
306	500	500	129	20	1410	29	24	170	4	2	0	6	2	2	0	0
307	500	500	145	20	1420	33	24	170	4	2	0	6	2	2	0	0
308	500	500	141	20	1420	32	24	170	4	2	0	6	2	2	0	0
309	500	500	137	20	1420	31	24	170	4	2	0	6	2	2	0	0
310	500	500	143	20	1430	30	24	170	4	2	0	6	2	2	0	0
311	500	500	169	20	1450	39	24	170	4	2	0	6	2	2	0	0
312	500	500	165	20	1450	38	24	170	4	2	0	6	2	2	0	0
313	500	500	171	20	1460	37	24	170	4	2	0	6	2	2	0	0
314	500	500	177	20	1470	36	24	170	4	2	0	6	2	2	0	0
315	500	500	193	20	1480	40	24	170	4	2	0	6	2	2	0	0
316	500	500	189	20	1480	39	24	170	4	2	0	6	2	2	0	0
317	500	500	185	20	1480	38	24	170	4	2	0	6	2	2	0	0
318	500	500	191	20	1490	37	24	170	4	2	0	6	2	2	0	0
319	500	500	217	20	1510	46	24	170	4	2	0	6	2	2	0	0
320	500	500	213	20	1510	45	24	170	4	2	0	6	2	2	0	0
321	500	500	137	20	1520	39	24	170	4	2	1	6	2	2	0	0
322	500	500	143	20	1530	38	24	170	4	2	1	6	2	2	0	0
323	500	500	159	20	1540	47	24	170	4	2	1	6	2	2	0	0
324	500	500	155	20	1540	46	24	170	4	2	1	6	2	2	0	0
325	500	500	151	20	1540	45	24	170	4	2	1	6	2	2	0	0
326	500	500	157	20	1550	44	24	170	4	2	1	6	2	2	0	0
327	500	500	183	20	1570	48	24	170	4	2	1	6	2	2	0	0
328	500	500	95	20	1570	47	24	170	4	2	2	6	2	2	0	0
329	500	500	101	20	1580	46	24	170	4	2	2	6	2	2	0	0
330	500	500	107	20	1590	45	24	170	4	2	2	6	2	2	0	0
331	500	500	123	20	1600	54	24	170	4	2	2	6	2	2	0	0
332	500	500	119	20	1600	53	24	170	4	2	2	6	2	2	0	0
333	500	500	115	20	1600	47	24	170	4	2	2	6	2	2	0	0
334	500	500	121	20	1610	46	24	170	4	2	2	6	2	2	0	0
335	500	500	147	20	1630	55	24	170	4	2	2	6	2	2	0	0
336	500	500	143	20	1630	54	24	170	4	2	2	6	2	2	0	0
337	500	500	149	20	1640	53	24	170	4	2	2	6	2	2	0	0
338	500	500	155	20	1650	52	24	170	4	2	2	6	2	2	0	0
339	500	500	171	20	1660	56	24	170	4	2	2	6	2	2	0	0
340	500	500	167	20	1660	55	24	170	4	2	2	6	2	2	0	0
341	500	500	77	20	1660	54	24	170	4	2	2	6	2	2	0	0
342	500	500	83	20	1670	53	24	170	4	2	2	6	2	2	0	0
343	500	500	96	20	1690	62	24	170	4	2	2	6	2	2	0	0
344	500	500	92	20	1690	61	24	170	4	2	2	6	2	2	0	0
345	500	500	98	20	1700	55	24	170	4	2	2	6	2	2	0	0
346	500	500	17	20	1710	54	24	170	4	2	2	6	2	2	0	0
347	500	500	24	16	1720	63	24	170	4	2	2	6	2	2	0	0
348	500	500	24	12	1720	62	24	170	4	2	2	6	2	2	0	0
349	500	500	11	8	1720	61	24	170	4	2	2	6	2	2	0	0
350	500	500	21	4	1730	60	24	170	4	2	2	6	2	2	0	0
351	500	500	51	0	1750	64	24	170	4	2	2	6	2	2	0	0
352	500	500	33	1	1750	63	24	170	4	2	2	6	2	2	0	0
353	500	500	43	1	1760	62	24	170	4	2	2	6	2	2	0	0
354	500	500	40	1	1770	62	24	170	4	2	2	6	2	2	0	0
355	500	500	60	1	1780	72	24	170	4	2	2	6	2	2	0	0
356	500	500	33	11	1780	71	24	170	4	2	2	6	2	2	0	0
357	500	500	33	7	1780	70	24	170	4	2	2	6	2	2	0	0
358	500	500	43	3	1790	69	24	170	4	2	2	6	2	2	0	0
359	500	500	73	3	1810	78	24	170	4	2	2	6	2	2	0	0
360	500	500	57	15	1810	77	24	170	4	2	2	6	2	2	0	0
361	500	500	58	20	1820	76	24	170	4	2	2	6	2	2	0	0
362	500	500	64	20	1830	75	24	170	4	2	2	6	2	2	0	0
363	500	500	80	20	1840	79	24	170	4	2	2	6	2	2	0	0
364	500	500	76	20	1840	78	24	170	4	2	2	6	2	2	0	0
365	500	500	72	20	1840	77	24	170	4	2	2	6	2	2	0	0
366	500	500	78	20	1850	76	24	170	4	2	2	6	2	2	0	0
367	500	500	104	20	1870	85	24	170	4	2	2	6	2	2	0	0
368	500	500	100	20	1870	84	24	170	4	2	2	6	2	2	0	0
369	500	500	106	20	1880	78	24	170	4	2	2	6	2	2	0	0
370	500	500	112	20	1890	77	24	170	4	2	2	6	2	2	0	0
371	500	500	128	20	1900	86	24	170	4	2	2	6	2	2	0	0
372	500	500	124	20	1900	85	14	170	4	2	2	5	2	2	0	0
373	500	500	120	20	1900	74	24	170	4	2	2	5	2	2	0	0
374	500	500	126	20	1910	73	24	170	4	2	2	5	2	2	0	0
