tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
flagoff_antler_s1_B	antler	1	B	flagoff	OPP	_v488beltbreak2	Core destroyed	396	0	980	2740
v529_antler_s2_A	antler	2	A	v529	OPP	_v488beltbreak2	Core destroyed	583	0	3150	2880
v527_antler_s2_A	antler	2	A	v527	OPP	_v488beltbreak2	Core destroyed	325	0	1650	2550
v528_antler_s2_A	antler	2	A	v528	US	_v528eco	Core destroyed	127	0	1060	150
parent_antler_s2_A	antler	2	A	parent	US	base_arm	Core destroyed	199	0	950	500
flagoff_antler_s2_A	antler	2	A	flagoff	US	flagoff_arm	Core destroyed	489	0	2420	2400
v529_antler_s2_B	antler	2	B	v529	US	_v529merge	Core destroyed	305	0	760	370
v527_antler_s2_B	antler	2	B	v527	US	_v527collar	Core destroyed	364	0	3470	420
v528_antler_s2_B	antler	2	B	v528	OPP	_v488beltbreak2	Core destroyed	548	0	1670	2140
parent_antler_s2_B	antler	2	B	parent	US	base_arm	Core destroyed	212	0	1860	500
flagoff_antler_s2_B	antler	2	B	flagoff	US	flagoff_arm	Core destroyed	185	0	510	110
v529_fjordgate_s1_A	fjordgate	1	A	v529	US	_v529merge	Core destroyed	252	0	1220	350
v527_fjordgate_s1_A	fjordgate	1	A	v527	US	_v527collar	Core destroyed	132	0	620	170
v528_fjordgate_s1_A	fjordgate	1	A	v528	US	_v528eco	Core destroyed	304	0	780	40
parent_fjordgate_s1_A	fjordgate	1	A	parent	US	base_arm	Core destroyed	368	0	1510	260
flagoff_fjordgate_s1_A	fjordgate	1	A	flagoff	OPP	_v488beltbreak2	Core destroyed	219	0	550	650
v529_fjordgate_s1_B	fjordgate	1	B	v529	US	_v529merge	Core destroyed	108	0	360	200
v527_fjordgate_s1_B	fjordgate	1	B	v527	US	_v527collar	Core destroyed	398	0	1540	940
v528_fjordgate_s1_B	fjordgate	1	B	v528	US	_v528eco	Core destroyed	119	0	530	30
parent_fjordgate_s1_B	fjordgate	1	B	parent	US	base_arm	Core destroyed	237	0	1140	780
flagoff_fjordgate_s1_B	fjordgate	1	B	flagoff	US	flagoff_arm	Core destroyed	376	0	920	920
v529_fjordgate_s2_A	fjordgate	2	A	v529	US	_v529merge	Core destroyed	189	0	890	150
v527_fjordgate_s2_A	fjordgate	2	A	v527	US	_v527collar	Core destroyed	173	0	1090	0
v528_fjordgate_s2_A	fjordgate	2	A	v528	OPP	_v488beltbreak2	Core destroyed	207	0	730	2070
parent_fjordgate_s2_A	fjordgate	2	A	parent	OPP	_v488beltbreak2	Core destroyed	250	0	850	1690
flagoff_fjordgate_s2_A	fjordgate	2	A	flagoff	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	480	8990
v529_fjordgate_s2_B	fjordgate	2	B	v529	OPP	_v488beltbreak2	Core destroyed	209	0	890	1370
v527_fjordgate_s2_B	fjordgate	2	B	v527	US	_v527collar	Core destroyed	144	0	880	0
v528_fjordgate_s2_B	fjordgate	2	B	v528	OPP	_v488beltbreak2	Core destroyed	541	0	1030	1100
parent_fjordgate_s2_B	fjordgate	2	B	parent	US	base_arm	Core destroyed	158	0	1040	0
flagoff_fjordgate_s2_B	fjordgate	2	B	flagoff	US	flagoff_arm	Core destroyed	232	0	620	710
v529_midgard_s1_A	midgard	1	A	v529	OPP	_v488beltbreak2	Core destroyed	376	0	740	1460
v527_midgard_s1_A	midgard	1	A	v527	OPP	_v488beltbreak2	Core destroyed	187	0	630	1210
v528_midgard_s1_A	midgard	1	A	v528	US	_v528eco	Core destroyed	265	0	1620	730
parent_midgard_s1_A	midgard	1	A	parent	US	base_arm	Core destroyed	422	0	2120	690
flagoff_midgard_s1_A	midgard	1	A	flagoff	OPP	_v488beltbreak2	Core destroyed	190	0	530	940
v529_midgard_s1_B	midgard	1	B	v529	OPP	_v488beltbreak2	Core destroyed	541	0	800	630
v527_midgard_s1_B	midgard	1	B	v527	US	_v527collar	Core destroyed	329	0	740	670
v528_midgard_s1_B	midgard	1	B	v528	OPP	_v488beltbreak2	Core destroyed	585	0	770	470
parent_midgard_s1_B	midgard	1	B	parent	US	base_arm	Core destroyed	495	0	980	800
flagoff_midgard_s1_B	midgard	1	B	flagoff	US	flagoff_arm	Core destroyed	685	0	1320	1200
v529_midgard_s2_A	midgard	2	A	v529	OPP	_v488beltbreak2	Core destroyed	206	0	480	1200
v527_midgard_s2_A	midgard	2	A	v527	US	_v527collar	Core destroyed	188	0	1090	680
v528_midgard_s2_A	midgard	2	A	v528	US	_v528eco	Core destroyed	345	0	710	740
parent_midgard_s2_A	midgard	2	A	parent	US	base_arm	Core destroyed	130	0	830	530
flagoff_midgard_s2_A	midgard	2	A	flagoff	US	flagoff_arm	Core destroyed	453	0	470	740
v529_midgard_s2_B	midgard	2	B	v529	US	_v529merge	Core destroyed	497	0	880	540
v527_midgard_s2_B	midgard	2	B	v527	US	_v527collar	Core destroyed	788	0	2600	690
v528_midgard_s2_B	midgard	2	B	v528	US	_v528eco	Core destroyed	199	0	1980	650
parent_midgard_s2_B	midgard	2	B	parent	OPP	_v488beltbreak2	Core destroyed	326	0	1260	3230
flagoff_midgard_s2_B	midgard	2	B	flagoff	US	flagoff_arm	Core destroyed	192	0	1500	760
v529_atoll_s3_A	atoll	3	A	v529	OPP	_v488beltbreak2	Core destroyed	376	0	1840	4110
v527_atoll_s3_A	atoll	3	A	v527	US	_v527collar	Core destroyed	306	0	1680	40
v528_atoll_s3_A	atoll	3	A	v528	US	_v528eco	Core destroyed	167	0	530	40
parent_atoll_s3_A	atoll	3	A	parent	OPP	_v488beltbreak2	Core destroyed	268	0	320	1300
flagoff_atoll_s3_A	atoll	3	A	flagoff	US	flagoff_arm	Core destroyed	289	0	2350	1250
v529_atoll_s3_B	atoll	3	B	v529	OPP	_v488beltbreak2	Core destroyed	229	0	250	610
v527_atoll_s3_B	atoll	3	B	v527	US	_v527collar	Core destroyed	279	0	850	190
v528_atoll_s3_B	atoll	3	B	v528	OPP	_v488beltbreak2	Core destroyed	647	0	1730	3200
parent_atoll_s3_B	atoll	3	B	parent	US	base_arm	Core destroyed	449	0	3010	2210
flagoff_atoll_s3_B	atoll	3	B	flagoff	US	flagoff_arm	Titanium collected (tiebreak)	1000	0	4960	2510
v529_atoll_s4_A	atoll	4	A	v529	US	_v529merge	Core destroyed	458	0	4010	1290
v527_atoll_s4_A	atoll	4	A	v527	OPP	_v488beltbreak2	Core destroyed	468	0	1280	3500
v528_atoll_s4_A	atoll	4	A	v528	US	_v528eco	Core destroyed	320	0	1610	1130
parent_atoll_s4_A	atoll	4	A	parent	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	4970	7410
flagoff_atoll_s4_A	atoll	4	A	flagoff	US	flagoff_arm	Core destroyed	820	0	7010	3250
v529_atoll_s4_B	atoll	4	B	v529	US	_v529merge	Core destroyed	359	0	1120	1090
v527_atoll_s4_B	atoll	4	B	v527	US	_v527collar	Titanium collected (tiebreak)	1000	0	470	260
v528_atoll_s4_B	atoll	4	B	v528	US	_v528eco	Core destroyed	176	0	840	280
parent_atoll_s4_B	atoll	4	B	parent	US	base_arm	Titanium collected (tiebreak)	1000	0	5090	2980
flagoff_atoll_s4_B	atoll	4	B	flagoff	US	flagoff_arm	Core destroyed	841	0	5930	200
v529_drakkarfjord_s3_A	drakkarfjord	3	A	v529	OPP	_v488beltbreak2	Core destroyed	484	0	1050	6390
v527_drakkarfjord_s3_A	drakkarfjord	3	A	v527	US	_v527collar	Core destroyed	91	0	300	0
v528_drakkarfjord_s3_A	drakkarfjord	3	A	v528	US	_v528eco	Core destroyed	88	0	270	0
parent_drakkarfjord_s3_A	drakkarfjord	3	A	parent	US	base_arm	Core destroyed	88	0	280	0
flagoff_drakkarfjord_s3_A	drakkarfjord	3	A	flagoff	US	flagoff_arm	Core destroyed	92	0	340	0
v529_drakkarfjord_s3_B	drakkarfjord	3	B	v529	US	_v529merge	Core destroyed	273	0	1280	0
v527_drakkarfjord_s3_B	drakkarfjord	3	B	v527	US	_v527collar	Core destroyed	250	0	2390	0
v528_drakkarfjord_s3_B	drakkarfjord	3	B	v528	US	_v528eco	Core destroyed	453	0	400	0
parent_drakkarfjord_s3_B	drakkarfjord	3	B	parent	US	base_arm	Core destroyed	96	0	320	0
flagoff_drakkarfjord_s3_B	drakkarfjord	3	B	flagoff	US	flagoff_arm	Core destroyed	614	0	3650	0
v529_drakkarfjord_s4_A	drakkarfjord	4	A	v529	US	_v529merge	Core destroyed	91	0	260	0
v527_drakkarfjord_s4_A	drakkarfjord	4	A	v527	US	_v527collar	Titanium collected (tiebreak)	1000	0	660	190
v528_drakkarfjord_s4_A	drakkarfjord	4	A	v528	US	_v528eco	Core destroyed	115	0	340	0
parent_drakkarfjord_s4_A	drakkarfjord	4	A	parent	OPP	_v488beltbreak2	Core destroyed	867	0	390	4210
flagoff_drakkarfjord_s4_A	drakkarfjord	4	A	flagoff	US	flagoff_arm	Core destroyed	92	0	330	0
v529_drakkarfjord_s4_B	drakkarfjord	4	B	v529	US	_v529merge	Core destroyed	98	0	320	0
