tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
twinB_glacierkeep_s8_B	glacierkeep	8	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	369	0	0	1080
twinA_glacierkeep_s9_A	glacierkeep	9	A	twinA	US	twinA	Core destroyed	313	0	0	0
twinB_glacierkeep_s9_A	glacierkeep	9	A	twinB	US	twinB	Core destroyed	429	0	0	0
twinA_glacierkeep_s9_B	glacierkeep	9	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	637	0	0	1650
twinB_glacierkeep_s9_B	glacierkeep	9	B	twinB	US	twinB	Titanium collected (tiebreak)	1000	0	330	0
twinA_glacierkeep_s10_A	glacierkeep	10	A	twinA	US	twinA	Core destroyed	404	0	480	0
twinB_glacierkeep_s10_A	glacierkeep	10	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	531	0	420	5070
twinA_glacierkeep_s10_B	glacierkeep	10	B	twinA	US	twinA	Core destroyed	257	0	0	0
twinB_glacierkeep_s10_B	glacierkeep	10	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	559	0	0	1210
twinA_archipelago_s11_A	archipelago	11	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	138	0	640	1210
twinB_archipelago_s11_A	archipelago	11	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	417	0	1840	5500
twinA_archipelago_s11_B	archipelago	11	B	twinA	US	twinA	Core destroyed	414	0	2220	1880
twinB_archipelago_s11_B	archipelago	11	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	169	0	730	1260
twinA_archipelago_s12_A	archipelago	12	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	137	0	360	1210
twinB_archipelago_s12_A	archipelago	12	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	154	0	720	1560
twinA_archipelago_s12_B	archipelago	12	B	twinA	US	twinA	Core destroyed	496	0	3920	4190
twinB_archipelago_s12_B	archipelago	12	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	257	0	460	1700
twinA_archipelago_s13_A	archipelago	13	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	154	0	400	1160
twinB_archipelago_s13_A	archipelago	13	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	208	0	1500	1620
twinA_archipelago_s13_B	archipelago	13	B	twinA	OPP	_x3r0v169mjolnir	Titanium collected (tiebreak)	1000	0	5000	24150
twinB_archipelago_s13_B	archipelago	13	B	twinB	US	twinB	Core destroyed	535	0	4420	4490
twinA_archipelago_s14_A	archipelago	14	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	102	0	590	790
twinB_archipelago_s14_A	archipelago	14	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	114	0	350	970
twinA_archipelago_s14_B	archipelago	14	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	362	0	1700	5170
twinB_archipelago_s14_B	archipelago	14	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	164	0	630	750
twinA_archipelago_s15_A	archipelago	15	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	468	0	3530	4470
twinB_archipelago_s15_A	archipelago	15	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	153	0	520	1100
twinA_archipelago_s15_B	archipelago	15	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	398	0	640	3230
twinB_archipelago_s15_B	archipelago	15	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	333	0	2940	5270
twinA_yulerune_s11_A	yulerune	11	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	227	0	220	940
twinB_yulerune_s11_A	yulerune	11	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	343	0	270	2300
twinA_yulerune_s11_B	yulerune	11	B	twinA	OPP	_x3r0v169mjolnir	Titanium collected (tiebreak)	1000	0	9150	9230
twinB_yulerune_s11_B	yulerune	11	B	twinB	OPP	_x3r0v169mjolnir	Titanium collected (tiebreak)	1000	0	820	4900
twinA_yulerune_s12_A	yulerune	12	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	365	0	230	850
twinB_yulerune_s12_A	yulerune	12	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	234	0	330	1660
twinA_yulerune_s12_B	yulerune	12	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	414	0	1200	660
twinB_yulerune_s12_B	yulerune	12	B	twinB	US	twinB	Core destroyed	95	0	280	0
twinA_yulerune_s13_A	yulerune	13	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	276	0	340	540
twinB_yulerune_s13_A	yulerune	13	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	254	0	220	1460
twinA_yulerune_s13_B	yulerune	13	B	twinA	US	twinA	Core destroyed	336	0	3400	0
twinB_yulerune_s13_B	yulerune	13	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	376	0	1990	3690
twinA_yulerune_s14_A	yulerune	14	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	421	0	290	750
twinB_yulerune_s14_A	yulerune	14	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	361	0	290	860
twinA_yulerune_s14_B	yulerune	14	B	twinA	US	twinA	Core destroyed	410	0	3570	0
twinB_yulerune_s14_B	yulerune	14	B	twinB	US	twinB	Core destroyed	256	0	1690	0
twinA_yulerune_s15_A	yulerune	15	A	twinA	US	twinA	Core destroyed	182	0	1280	140
twinB_yulerune_s15_A	yulerune	15	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	327	0	290	770
twinA_yulerune_s15_B	yulerune	15	B	twinA	US	twinA	Core destroyed	295	0	2020	0
twinB_yulerune_s15_B	yulerune	15	B	twinB	US	twinB	Titanium collected (tiebreak)	1000	0	5050	4470
twinA_glacierkeep_s11_A	glacierkeep	11	A	twinA	US	twinA	Core destroyed	867	0	1440	0
twinB_glacierkeep_s11_A	glacierkeep	11	A	twinB	OPP	_x3r0v169mjolnir	Harvesters (tiebreak)	1000	0	0	0
twinA_glacierkeep_s11_B	glacierkeep	11	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	772	0	5460	8890
