arm	map	seed	seat	ok	winner	turns	cond	treat_won
v522	frostgate	524288	A	True	A	145	core_destroyed	True
v524	frostgate	524289	B	True	A	313	core_destroyed	False
v522	frostgate	524290	A	True	A	189	core_destroyed	True
v524	frostgate	524290	A	True	A	194	core_destroyed	True
v522	frostgate	524289	B	True	A	370	core_destroyed	False
v524	frostgate	524291	B	True	B	162	core_destroyed	True
v524	frostgate	524292	A	True	A	120	core_destroyed	True
v522	frostgate	524292	A	True	B	389	core_destroyed	False
v522	frostgate	524291	B	True	B	1000	titanium_collected	True
v524	frostgate	524293	B	True	A	184	core_destroyed	False
v522	frostgate	524293	B	True	B	111	core_destroyed	True
v524	frostgate	524294	A	True	B	159	core_destroyed	False
v522	frostgate	524294	A	True	B	191	core_destroyed	False
v524	frostgate	524295	B	True	B	110	core_destroyed	True
v522	frostgate	524295	B	True	B	253	core_destroyed	True
v522	frostgate	524296	A	True	A	189	core_destroyed	True
v524	frostgate	524296	A	True	A	229	core_destroyed	True
v524	frostgate	524297	B	True	B	217	core_destroyed	True
v522	frostgate	524297	B	True	B	182	core_destroyed	True
v522	frostgate	524298	A	True	A	180	core_destroyed	True
v524	frostgate	524299	B	True	B	115	core_destroyed	True
v524	frostgate	524298	A	True	A	233	core_destroyed	True
v522	frostgate	524299	B	True	B	155	core_destroyed	True
v522	frostgate	524300	A	True	B	148	core_destroyed	False
v524	frostgate	524301	B	True	A	145	core_destroyed	False
v524	frostgate	524300	A	True	A	221	core_destroyed	True
v522	frostgate	524301	B	True	B	203	core_destroyed	True
v524	frostgate	524302	A	True	B	130	core_destroyed	False
v522	frostgate	524302	A	True	B	191	core_destroyed	False
v524	frostgate	524303	B	True	B	105	core_destroyed	True
v522	frostgate	524303	B	True	B	152	core_destroyed	True
v524	frostgate	524305	B	True	B	105	core_destroyed	True
v522	frostgate	524304	A	True	B	279	core_destroyed	False
v522	frostgate	524305	B	True	A	225	core_destroyed	False
v524	frostgate	524304	A	True	B	874	core_destroyed	False
v522	frostgate	524306	A	True	A	517	core_destroyed	True
v524	frostgate	524307	B	True	B	162	core_destroyed	True
v524	frostgate	524306	A	True	A	1000	titanium_collected	True
v524	frostgate	524308	A	True	A	121	core_destroyed	True
v522	frostgate	524307	B	True	A	254	core_destroyed	False
v522	frostgate	524308	A	True	B	505	core_destroyed	False
v524	frostgate	524309	B	True	B	177	core_destroyed	True
v522	frostgate	524309	B	True	B	193	core_destroyed	True
v524	frostgate	524310	A	True	A	169	core_destroyed	True
v522	frostgate	524310	A	True	A	116	core_destroyed	True
v522	frostgate	524311	B	True	B	197	core_destroyed	True
v522	frostgate	524312	A	True	B	172	core_destroyed	False
v524	frostgate	524312	A	True	B	513	core_destroyed	False
v524	frostgate	524311	B	True	A	721	core_destroyed	False
v522	frostgate	524313	B	True	B	205	core_destroyed	True
v522	frostgate	524314	A	True	B	191	core_destroyed	False
v524	frostgate	524314	A	True	A	137	core_destroyed	True
v524	frostgate	524313	B	True	B	400	core_destroyed	True
v524	frostgate	524315	B	True	B	157	core_destroyed	True
v524	frostgate	524316	A	True	A	121	core_destroyed	True
v522	frostgate	524316	A	True	B	132	core_destroyed	False
v522	frostgate	524315	B	True	B	382	core_destroyed	True
v524	frostgate	524317	B	True	A	277	core_destroyed	False
v522	frostgate	524317	B	True	B	532	core_destroyed	True
v524	frostgate	524318	A	True	A	298	core_destroyed	True
v522	frostgate	524318	A	True	A	1000	titanium_collected	True
v524	frostgate	524319	B	True	B	193	core_destroyed	True
v522	frostgate	524319	B	True	A	609	core_destroyed	False
